Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
RNF112	0.786026	0.804878	0.952486	0.833631	0.791946	0.813618	0.720755	0.781955	0.793388
ZC3H14	1.347368	1.250919	1.069307	1.293413	1.225434	1.257143	1.439492	1.245283	1.228899
SPN	1.54717	1.704099	0.990698	8.611705	0.837359	0.864471	4.074481	4.447565	5.405582
RNF111	1.274633	1.266667	1.849953	1.108476	1.291179	1.41704	1.169992	1.143791	1.173554
ZC3H18	1.241379	1.207207	1.384615	1.309278	1.18593	1.190868	1.0	1.238409	1.289696
DHX8	1.434343	1.429999	1.893941	1.42735	1.325373	1.262136	1.283019	1.402439	1.406219
DHX9	9.076742	3.636364	2.189808	5.098378	6.038632	6.663125	2.635707	6.438709	5.589607
TCOF1	1.244506	1.118881	1.068063	1.204082	1.319221	1.262411	0.987013	1.251799	1.326544
NUP98	3.287692	2.199229	5.487457	2.345125	3.096539	3.067808	1.582264	2.702703	2.938507
XPC	1.927866	1.220513	1.884232	1.327869	1.686655	1.483871	1.345869	1.908605	1.556986
PROCA1	0.952055	0.936842	0.994475	0.880734	0.917258	0.915493	0.878587	0.95082	0.895522
GRINA	1.112628	6.205418	2.589007	1.110092	1.345291	1.331361	4.316322	1.059289	1.051278
SP3	4.559942	3.92516	4.945935	3.273504	2.749535	3.689957	1.674603	3.196176	2.997073
NUP93	1.522113	1.931579	1.192825	1.863047	1.782799	1.485149	1.490614	1.496426	1.742977
SPPL3	1.292308	1.127517	1.458482	1.092308	1.285714	1.257485	1.092232	1.149847	1.094253
GOLIM4	0.817956	1.178571	0.963601	1.134146	1.0	0.964286	1.219251	0.85034	0.918033
OPA3	0.955224	0.959596	0.958904	0.95625	0.962025	0.92549	0.96063	0.929766	0.938272
OPA1	3.235912	2.303277	1.291262	1.434343	1.650529	1.717949	1.979513	1.488171	1.672202
LOC100996763	1.242991	3.05934	2.647502	1.098901	2.465232	1.658671	1.17411	1.043478	1.0
RAB40C	0.978908	1.128889	1.206061	1.034696	1.025398	1.005848	0.999127	1.014925	1.034483
RAB40B	0.897527	0.871336	0.735519	0.894861	0.879227	0.8875	0.903955	0.895522	0.879433
GTSE1	0.763006	0.744356	0.947644	0.897727	0.754995	0.696673	0.886228	0.775281	0.859649
B2M	194.247925	186.633438	263.227203	124.237396	56.887913	51.2528	186.633438	102.899391	117.865448
RPRD2	1.17261	1.066667	1.121212	1.080745	1.129068	1.253731	1.020408	1.122302	1.129731
SPPL2A	1.279412	3.040836	2.28618	2.189808	1.293649	1.732502	6.438709	1.262032	1.469532
LOC105369748	0.887701	0.968421	1.479006	0.973783	0.91133	0.913043	0.965986	0.920673	0.926316
SLC46A1	0.880658	0.937008	0.615023	0.87376	0.905473	0.890966	0.856436	0.908139	0.905145
NOP9	1.057143	1.100437	0.992424	1.097561	1.075472	1.017964	1.070968	1.082126	1.115152
UGCG	1.292399	1.051903	1.512821	1.047619	1.56383	1.395774	2.354178	1.302632	1.120253
ATP2A1	0.76797	0.793651	1.007462	0.8	0.795812	0.829122	0.747599	0.754789	0.771429
ATP2A2	1.432432	2.307692	1.164918	1.460993	1.290161	1.376045	2.320265	1.365385	1.375
ATP2A3	2.892778	1.20354	3.229631	4.349165	9.815908	7.733079	1.258065	4.141438	4.54844
ITGA1	0.88172	0.902913	1.02139	0.686211	0.676647	0.697284	0.705055	0.892308	0.925532
ITGA3	0.962963	0.769811	0.53435	0.901308	0.968279	0.884615	10.936911	1.018868	1.0
ITGA4	9.457802	6.172383	1.469194	7.39783	4.77535	9.815908	1.198193	8.286963	11.662522
ITGA5	2.312136	3.030121	5.933238	2.528634	0.884531	1.002398	3.063921	1.507897	1.793023
ITGA6	15.832673	0.915385	1.0	2.557332	0.821033	0.809669	3.110472	4.46093	2.657188
ITGA7	0.884531	0.881579	0.964803	0.878307	0.869565	0.910263	0.875	0.844944	0.860335
DENND4A	3.1479	1.685426	1.309859	1.548413	3.094434	7.51441	1.058065	1.611111	2.136684
DENND4B	1.685426	2.156972	2.097073	1.586207	1.78169	2.606903	1.284768	1.287805	1.498282
DENND4C	2.386747	1.397008	1.13369	2.63812	1.419795	1.593548	6.112993	1.608214	2.300928
SWAP70	0.920863	1.203252	1.006711	0.990769	6.694778	5.995816	1.333333	0.934132	0.940503
RARRES1	0.468612	0.522575	0.857914	0.641725	0.677966	0.698619	1.292035	0.780544	0.619703
PHLDA1	0.833333	1.01105	0.926045	0.944521	0.788571	0.824176	1.290323	1.006211	0.971154
PHLDA3	0.755435	0.759615	0.711836	0.916848	0.759494	0.809524	3.081868	0.890625	0.808696
PHLDA2	0.723577	0.967509	0.853377	0.7127	0.805289	0.698908	0.827586	0.74184	0.716867
NENF	1.197183	1.112583	0.781955	1.116883	1.352113	1.138889	3.237397	1.283184	1.296482
ZNF37BP	1.677351	1.027356	1.156069	1.064103	1.133877	1.307692	0.951089	1.052265	1.107143
SQLE	0.982249	1.000324	0.923077	1.067365	1.092106	1.133803	1.42123	0.981818	1.0
FBXL13	0.914286	0.764835	1.864552	0.848069	0.895522	0.937143	0.822423	0.884956	0.868347
FBXL12	1.111111	1.116071	1.2749	1.090909	1.153153	1.162972	1.050785	1.064103	1.077441
FBXL15	0.932203	1.020045	1.008038	1.137065	1.130252	1.021102	1.051659	1.08	1.090196
CYP27B1	0.815287	0.80597	0.440479	0.795687	0.83898	0.771574	0.992857	0.833333	0.811475
FBXL17	1.28866	1.156331	1.169664	1.257862	1.255617	1.271318	1.072464	1.175439	1.150838
HRH1	0.655965	0.924658	0.877301	0.585124	0.776872	0.731429	0.943548	0.765957	0.726531
FAM169A	1.150838	0.784617	0.717647	1.206851	1.0	1.072165	0.662394	1.061818	1.115044
FBXL18	0.902215	0.937812	1.071625	0.931034	0.900302	0.892419	0.912863	0.907801	0.907975
GHDC	1.041475	1.189816	1.141732	1.165902	1.271834	1.226804	1.166667	1.109543	1.126582
SDK1	0.830706	0.395047	0.934169	0.719101	0.809447	0.947712	0.755556	0.718651	0.767571
SDK2	0.930909	0.758105	0.519667	0.740741	0.982659	1.12	0.404451	0.842912	0.873469
KANSL1-AS1	1.197452	1.05242	1.206349	1.226519	1.062147	1.061267	1.075099	1.316832	1.341249
TPRN	0.935294	0.980392	0.942529	0.98913	0.958084	0.957031	0.935185	0.952381	0.95549
FAM212A	0.824034	0.864257	0.873096	0.807988	1.072917	0.998793	0.935065	0.838323	0.838028
LOC100506403	1.585181	1.434144	1.245546	1.241706	1.21014	1.325581	1.038961	1.380057	1.37382
COL4A4	0.727663	0.431112	0.4356	0.811712	1.096386	0.873239	0.392298	0.7125	0.740426
COL4A3	0.770513	0.580905	0.434801	0.798167	2.171068	0.948148	0.378938	0.769414	0.774775
COL4A2	0.828818	0.779412	0.434014	0.588235	0.667715	0.693317	0.871429	0.647196	0.589887
COL4A1	0.84153	0.62584	0.959459	0.58869	0.667327	0.690355	0.851005	0.649283	0.583896
GRN	1.019011	16.075634	6.864719	1.23735	5.630283	1.404908	33.994743	1.244186	1.090909
CHST2	0.902954	1.057471	1.052632	5.238163	1.208333	1.055556	0.948097	0.92126	0.822485
SNORA11E	0.830946	0.319356	0.431858	1.3125	1.230769	17.973145	0.384801	11.965714	9.243089
CHST7	0.861878	1.003953	1.283019	0.996169	0.894737	0.850299	1.057402	1.011393	0.993197
TPRG1-AS1	0.375954	0.987654	0.726833	0.590315	0.665423	0.687739	0.947368	0.72669	0.647196
ITGAX	0.807339	5.440188	26.041098	2.314694	0.954373	0.894118	13.849962	0.801875	0.887574
LRRC58	1.199178	1.1305	1.008264	1.061728	1.038095	1.067961	1.176955	1.087719	1.101695
BCL2A1	1.232	17.805525	23.194899	1.080292	2.646179	1.158879	18.175884	1.304348	1.365225
HLCS	1.04375	0.956989	0.732569	1.107692	1.011858	1.013333	1.046358	1.013158	1.074074
NOG	1.225131	0.595449	0.425419	0.58196	0.662133	0.688372	0.391511	0.835821	0.801932
ITGAV	0.989417	1.105	1.028571	1.032051	0.890625	0.929584	1.377358	0.994819	0.996169
PREP	1.138686	1.184466	0.904639	1.279378	1.043228	1.073721	1.193162	1.134712	1.202478
ZNF703	0.540917	0.926518	0.689752	0.733682	0.842105	0.849858	0.84097	0.662133	0.714633
ITGAL	3.818991	4.66507	4.271847	14.028433	1.534255	1.237653	1.856926	6.179628	11.249943
ITGAM	0.890855	8.582467	5.965864	8.97291	1.618902	0.984293	11.522167	1.08805	1.507897
HLF	0.816754	0.635569	0.716981	0.760417	0.70255	0.688925	0.514485	1.017143	0.847712
NOV	0.399378	0.816054	1.358601	0.572165	0.700826	0.689139	0.937503	0.653745	0.665064
SNORA11D	0.830986	0.312555	0.439769	1.312306	1.231317	18.039753	0.386909	11.915874	9.260448
FAM134C	2.182368	1.350154	1.347594	3.212666	2.663269	2.213254	1.513697	2.013975	2.73815
FAM134B	2.410031	1.0	1.011236	0.850575	0.929577	1.053942	1.586727	1.458824	1.134146
FAM134A	1.668881	1.531915	2.483833	1.969076	2.138659	1.685426	1.960784	2.245591	2.179011
ZNF700	1.267176	1.082082	1.317382	1.060606	1.10989	1.224299	1.019269	1.045455	1.0625
TRERF1	1.091525	1.067194	1.286054	1.064046	0.865672	0.749154	0.986047	1.178082	1.225581
LRPAP1	1.570245	4.233795	2.26001	2.472264	1.708645	1.346821	6.455229	1.821207	1.83895
SMAD5	0.958084	1.071823	0.987826	1.202797	1.083636	1.169333	1.065506	1.063613	1.113846
SMAD6	0.693317	0.961326	0.808333	0.683439	0.710983	0.78534	0.777608	0.742374	0.653745
SMAD7	0.995595	1.26183	1.021739	1.489362	0.901493	0.931034	0.994783	1.121212	1.296966
GOLPH3L	1.052044	0.970492	1.144144	1.056106	1.0	0.978261	0.96463	1.027237	1.030612
SMAD1	0.849162	1.003802	0.781341	0.833333	0.710194	0.689752	0.980989	0.863492	0.640392
AFTPH	1.877292	2.05	2.577054	1.976351	5.14171	3.779945	2.17384	1.952114	2.131439
SMAD3	1.118402	1.2875	0.946667	1.125926	1.370852	2.532676	0.935323	1.277075	1.397436
MUS81	1.555008	1.389088	1.254237	2.101266	1.836048	1.593985	1.356825	1.864552	2.282009
AMMECR1L	1.010989	1.0	1.122172	1.000406	1.005405	0.993671	0.993939	1.015748	1.003065
SNORA73A	179.382919	240.805038	251.714722	153.642807	173.19783	153.642807	234.144455	158.414307	168.451691
NECAP1	2.529769	2.269958	2.24687	1.245988	1.294118	1.458824	1.289256	1.41334	1.341048
IGF2R	1.420168	2.418356	16.419899	4.851192	1.19802	1.275362	4.940282	1.484256	2.258065
ZNF321P	0.993865	0.972477	1.058824	0.985294	0.977654	1.007101	0.956522	0.954373	0.955556
NECAP2	5.085687	3.461595	1.528986	2.544406	3.277844	2.589926	5.044432	5.419286	4.04981
CKS1B	1.056604	0.993506	0.923977	1.126545	1.27078	1.214458	1.292308	1.082645	1.052865
SLC36A1	0.921147	1.117647	1.3	0.967742	0.941176	0.930556	1.165902	0.916256	0.927616
LOC101929023	0.541441	0.770669	1.030043	0.88172	0.812834	0.870175	0.797619	0.779851	0.822785
ZC3H15	3.725945	2.071006	1.410714	2.080318	2.33211	2.371325	1.613252	2.689335	2.411311
SNORA38B	29.025448	41.069756	41.938477	91.085457	76.448166	97.179298	26.427614	83.754105	92.975861
ERICH1	1.893941	2.320265	1.786393	1.268657	2.009896	2.178071	1.079167	1.346994	1.425
C14orf119	1.052632	1.239819	1.273054	1.414998	1.09901	1.015668	2.219829	1.255172	1.291925
HERC2P3	1.179487	1.069124	0.885246	1.069767	1.117438	1.255521	1.201681	1.011583	1.014055
HERC2P2	1.501947	1.136364	0.932462	1.267857	1.21569	1.325843	1.309032	1.123153	1.164279
HERC2P9	1.43057	1.211268	0.948276	1.177011	1.257862	1.347594	1.225296	1.085427	1.144068
SPTLC1	1.631728	2.037037	1.731465	1.475857	1.437022	1.530229	2.013245	1.573014	1.49341
TCEA2	1.083852	1.047445	1.032836	1.057851	1.381997	1.175	0.984055	1.125	1.085366
TCEA3	1.771135	0.833333	0.7125	0.821192	0.765189	0.745758	0.710194	1.258427	0.967107
RNU1-3	438.355957	516.680298	700.887573	700.887573	6945.064453	700.887573	700.887573	470.178345	700.887573
TCEA1	3.356093	1.942365	1.254902	2.917446	5.507094	3.8	4.113818	3.739101	3.465329
KDM2A	3.866054	2.555538	4.811185	2.166974	3.303553	3.662139	1.283422	2.775456	2.686047
COX4I1	19.925493	13.071649	3.009967	14.51542	17.125854	15.705218	17.03179	16.419899	16.128061
BFAR	1.572173	1.376855	1.237653	1.574327	1.642122	1.336957	1.612403	1.529851	1.531746
TMLHE-AS1	0.814491	0.827072	1.069959	0.735632	0.692505	0.914286	0.789809	0.728261	0.858407
CRTAM	0.942249	0.964602	0.75401	1.071429	0.69307	0.745204	1.429787	0.877419	1.370638
EDA	1.00464	0.776042	0.630432	0.637518	0.74928	0.783979	0.787974	0.978947	0.916031
PIPOX	0.908463	0.911508	1.088	0.944444	0.940659	0.989796	0.875417	0.919118	0.934211
CCDC117	0.990826	1.008696	1.141176	1.121019	0.979228	1.023474	1.007324	0.96875	0.977528
CCDC115	1.309735	1.319882	1.126904	1.874681	2.129322	1.715811	1.451617	1.762776	1.910313
CCDC112	0.988327	1.079545	1.081081	0.93722	1.006329	1.020168	1.028986	0.971154	1.026087
MCF2L	1.017038	0.759494	0.819392	0.899015	0.898551	1.008497	0.754401	0.9798	0.971429
UBXN10-AS1	0.907216	0.805556	0.810217	0.892086	0.807018	0.692308	0.359403	0.953069	0.93578
LEO1	1.100692	1.030303	0.993464	1.194872	1.071038	1.033493	1.121212	1.082405	1.160053
LINC01215	1.259542	0.87963	0.980392	0.963563	1.55102	2.58712	0.892308	1.275362	1.046875
ATP1A4	0.594622	0.86645	0.598745	0.516583	0.739388	0.692505	0.824907	0.561949	0.667327
ATP1A3	0.863753	0.673562	0.876033	0.978261	0.883078	0.857143	0.500665	0.909091	0.963235
ATP1A1	7.90673	5.513726	1.298343	3.850279	4.466435	1.91322	7.989972	8.887916	6.922302
NOCT	0.883307	1.229167	0.970874	0.896552	0.949471	0.962963	0.961039	0.893333	0.883851
LOC102723927	1.010417	0.814433	0.871795	0.901408	1.133323	1.248	0.688608	0.931889	0.674352
MGRN1	1.061905	1.362903	2.755744	1.148789	1.075949	1.122807	1.10755	1.092947	1.11236
TCP1	5.771937	3.347176	1.912021	3.750727	3.606417	4.162071	2.596319	3.862277	4.117005
CRTAP	1.091743	4.786008	1.115385	1.006711	1.042017	1.025271	2.445765	1.167969	1.065476
SIRPG	1.246613	0.792952	0.819277	0.807229	0.687284	0.700246	0.339531	1.410853	1.177866
SPHK1	0.756923	1.102941	0.948207	0.96007	0.778626	0.816092	1.6	0.802548	0.872968
CUEDC1	0.807229	1.043956	1.276074	0.688925	0.688608	0.734305	1.07767	0.791277	0.767274
CUEDC2	1.1875	1.288136	1.150134	1.275421	1.303704	1.157143	1.274448	1.266033	1.273595
CBLB	2.991548	1.0625	0.996226	1.881508	1.439492	1.487406	1.422785	1.246154	2.216116
CPEB4	1.066246	1.570621	3.477652	1.086971	1.04	1.153446	1.82875	1.060241	1.071038
C11orf98	1.516996	1.283333	1.336957	2.455012	1.697532	1.305085	1.333333	1.512501	1.928754
CPEB1	0.8	0.303173	0.400336	0.49089	0.709433	0.740741	0.957843	0.793814	0.821192
CPEB3	0.91133	0.964286	1.075269	0.926471	0.939502	0.945559	0.87376	0.903918	0.916667
CPEB2	0.972477	1.107143	1.894589	1.0	0.991343	0.990566	1.273743	0.984615	0.991046
BEGAIN	0.838601	0.830986	0.975309	0.75419	0.746988	0.70049	0.887755	0.933333	0.805556
OSGEP	1.670084	1.291873	1.254509	1.24234	1.728435	1.849226	1.239617	1.268293	1.234973
ABAT	0.981481	1.085714	1.36	0.992063	0.976471	0.990476	0.976378	0.943959	0.971963
ZNF780A	1.140496	1.103825	1.133017	1.063735	1.008038	1.081081	1.126984	1.069124	1.095238
ZNF780B	1.345455	1.035294	1.003413	1.043956	1.107692	1.247525	1.023938	1.068404	1.114286
FRG1	2.755744	1.709594	1.400844	2.046596	2.634312	2.10049	3.876688	2.176865	2.006692
RHEBL1	0.896493	0.8	0.937656	1.032132	0.960265	0.942308	0.873684	0.962963	0.971014
SIRPA	0.671175	3.120819	4.421459	0.655286	0.864888	0.816	5.287323	0.572165	0.593695
IFT80	1.531469	1.014577	1.112583	1.077778	1.094198	1.180488	1.022364	1.217022	1.152542
IFT81	0.902326	0.894118	0.984127	0.84866	0.913907	0.922078	0.950943	0.902778	0.861423
IFT88	1.124578	1.048934	1.224044	1.043659	1.094828	1.21978	0.980952	1.052083	1.030075
POU5F1B	0.88011	0.426886	0.698908	0.773585	0.8	0.875779	0.512148	0.85625	0.843602
SP1	1.805393	2.538212	4.141438	1.637586	1.777778	2.24687	1.52407	1.631728	1.596491
SP2	0.943459	0.957843	1.131148	0.947866	0.924051	0.963966	0.83871	0.939759	0.949471
CNTF	0.941176	0.989831	1.099099	0.91358	0.953448	0.976959	0.877301	0.900302	0.904977
MCM10	0.784431	0.7061	0.879754	0.895928	0.845283	0.707453	0.914981	0.844327	0.851406
SP4	1.407407	1.0	1.234973	1.450433	1.327511	1.437022	0.958525	1.351936	1.665646
ATG4C	1.036145	1.091837	1.002561	1.00274	1.173469	1.109091	1.142682	1.0	1.0
ATG4B	1.401287	1.449664	1.682324	1.626989	1.440996	1.525886	2.094513	1.376045	1.452381
ATG4A	1.005025	1.025271	1.031915	1.113439	1.027237	1.025641	1.239442	1.074534	1.069307
THUMPD2	1.154717	1.063461	0.888889	1.032258	1.08	1.116701	1.017544	1.071429	1.055838
ATG4D	1.217391	1.18	1.388235	1.572643	1.195652	1.116279	1.061224	1.305556	1.353019
LOC100129215	0.911877	0.837945	0.839506	0.951807	0.887796	0.890173	0.773829	0.891598	0.924855
CFH	0.881589	0.817651	0.767025	0.945607	0.682927	0.708001	0.637518	1.338497	1.064935
GPT2	0.8	0.888889	0.795455	0.839186	0.997921	0.84866	1.0	0.803532	0.785603
PNP	1.220339	1.908605	0.98913	1.539631	1.324064	1.298744	2.429878	1.758753	1.756251
ANKFY1	1.3	1.322884	1.601375	1.222857	1.188119	1.293333	1.134615	1.144928	1.204188
CFB	0.798167	0.912181	0.919047	0.821752	0.825083	0.865497	0.878049	0.809946	0.782609
TOR2A	0.949153	1.214286	1.234094	1.104072	1.011236	0.993421	1.086957	0.98175	1.030043
SMKR1	0.895349	0.512952	0.527783	1.056995	0.958728	0.825814	0.70903	0.90301	0.978903
CREBBP	1.80808	1.759965	6.515964	1.407143	1.69532	2.81655	1.007547	1.344418	1.391458
PNN	5.044432	2.273246	1.766927	2.022768	3.626401	3.915582	1.229856	2.13404	2.173023
ATP6V0E1	3.989651	6.084373	6.355964	4.940282	4.489231	3.216875	9.789807	4.261837	4.814815
ATP6V0E2	1.487826	0.974359	0.841357	1.210526	1.081395	1.013575	1.149847	1.671363	1.377193
CFP	1.204611	13.602359	8.314174	0.792135	0.854545	0.9	0.833333	1.208333	0.871982
RNU5B-1	198.802078	0.117871	223.493774	363.574463	339.455597	399.625153	240.805038	339.455597	339.455597
AAAS	1.297546	1.182609	1.111111	1.22807	1.246753	1.21569	1.258862	1.22	1.225131
HAMP	0.802469	0.834225	0.909091	0.840426	0.8	0.882353	1.271862	0.78453	0.812834
SIDT1	1.910313	0.931889	0.869565	1.63497	3.45914	3.040836	0.931818	1.308474	1.533169
SIDT2	1.149254	1.847754	1.248689	1.022422	2.145463	2.471012	1.218605	1.055838	1.028846
ADCY10P1	1.024456	0.92446	1.190751	0.90625	0.948571	1.054264	0.816199	0.914345	0.927158
MR1	1.086022	1.183673	1.234286	1.178082	1.04902	1.07601	2.152979	1.077982	1.088235
CNPY4	1.270718	1.0	1.004651	1.185567	0.991919	0.986494	0.975616	1.263158	1.287356
CNPY3	1.433333	5.501723	4.842284	1.748503	4.793768	2.644794	2.071006	1.682798	1.653803
CNPY2	2.166387	1.565938	1.101796	2.389229	1.724996	1.672444	2.107143	2.54886	2.24948
LOC102724163	0.201005	0.915176	1.069444	0.784617	0.969697	0.940397	0.814326	0.616408	0.635569
SYNJ1	1.05814	1.110092	1.420168	0.994381	0.89313	0.933333	1.026316	0.988372	0.990769
KNDC1	0.584772	0.873684	0.9	0.540917	0.741722	0.766798	0.646465	0.870675	0.761062
HMG20A	1.444148	1.176471	1.047352	1.400655	1.282409	1.335878	1.229508	1.192661	1.316176
HMG20B	1.131579	1.404006	1.288889	1.436617	1.315068	1.150685	4.9758	1.342961	1.278912
RNVU1-18	470.178345	700.887573	582.255859	582.255859	1772.763794	1159.172729	516.680298	899.958862	899.958862
AAGAB	1.186526	1.230769	1.203869	1.468085	1.296482	1.128079	1.242857	1.303893	1.310345
PHOSPHO1	0.683896	0.84882	8.186259	0.88731	0.822845	0.8	0.924528	0.755191	0.824681
SLC7A6OS	1.295775	1.115044	1.239766	1.198347	1.153846	1.149171	1.065789	1.19469	1.201754
SCYL2	1.534698	1.544554	2.065463	1.597332	1.173813	1.345455	1.382716	1.289474	1.345098
SYNJ2	1.120055	0.911111	1.0	1.087719	1.005464	0.948617	0.973978	1.188264	1.002786
TMEM60	0.995305	1.052044	1.167347	1.045093	1.113703	1.001711	1.298429	1.031579	0.995215
ZFP82	0.987342	0.85124	0.768631	0.969697	1.027451	1.059701	0.904977	0.981481	0.985915
CHFR	1.616719	1.669657	2.485169	2.047233	1.416667	1.560284	1.551998	1.497506	1.719493
TVP23C-CDRT4	0.90301	0.846154	0.935714	0.981965	0.901099	0.709677	0.931034	0.958292	0.970588
SMDT1	1.244186	1.114943	0.985646	1.166667	1.61826	1.47191	1.111111	1.292308	1.081081
FAM81A	0.621493	0.772881	0.783069	0.753368	0.914518	0.92	1.057851	0.693603	0.740741
RFX5	1.628458	2.581709	1.187809	1.584851	4.940282	4.868649	1.183824	1.560284	1.627659
APP	1.325688	3.234173	1.134328	0.882759	1.968279	2.008357	5.771937	1.390774	0.987541
RFX7	1.01724	0.99249	0.897638	1.022026	1.057143	1.084507	0.920755	1.0	1.044201
RFX1	0.934066	1.009709	1.217742	0.985646	0.990909	1.0	0.870243	0.982	0.980645
NRXN1	0.621118	0.666287	1.067365	0.522038	0.729251	0.709977	0.54471	0.61827	0.60217
RFX3	1.186999	1.0	1.169844	0.994975	1.061069	1.157344	0.932584	1.042075	1.014218
YDJC	1.142857	1.106383	1.063545	1.262309	1.476641	1.340436	1.060606	1.358491	1.287671
IBA57	0.946746	0.935484	0.938462	0.943459	0.928571	0.948025	0.911565	0.934579	0.944134
APC	1.295154	1.453177	3.002602	1.350154	1.282353	1.411056	1.25	1.252427	1.303704
ABCE1	2.678799	1.270588	0.894212	1.340659	1.419048	1.534255	1.595092	1.654321	1.641026
UQCRC2	5.557242	4.868649	1.914055	4.90625	4.986908	4.286784	7.04923	5.126774	4.786008
XPNPEP1	1.301282	1.7319	0.99	1.855634	1.344262	1.418182	2.047233	1.388889	1.449664
STXBP4	1.020619	0.918919	0.922977	0.969828	0.964101	1.034188	0.923513	0.971631	0.991645
GGCX	1.069444	1.133641	1.214662	1.0837	1.055556	1.064935	1.391149	1.055556	1.070064
PAPLN	0.713348	0.890909	0.945946	0.740797	0.782077	0.84507	1.238095	0.751445	0.769231
ADNP	1.34965	1.168067	1.322293	1.209677	1.176471	1.351491	1.027778	1.15	1.249577
ZNF57	0.907895	0.88172	0.792453	0.923821	0.926984	0.924138	0.942675	0.933633	0.915525
KHDRBS1	2.084076	1.886525	1.581028	2.297168	2.179786	2.124224	1.408971	2.381	2.565387
KHDRBS3	0.782258	0.783383	0.884106	0.797251	0.80791	0.851562	0.884462	0.790478	0.774445
GGCT	1.106227	1.119171	0.961355	1.146552	1.074866	1.028571	2.221238	1.116751	1.095238
PWAR5	2.118081	0.931818	0.813618	0.997135	1.138075	1.295455	0.946108	1.267241	1.196571
STAC3	0.8867	1.112903	1.0	0.863309	0.980583	0.922535	1.108931	0.820755	0.878307
ZCCHC10	1.116701	1.154867	1.119934	1.116279	1.295082	1.337648	1.283951	1.156863	1.136452
TMEM127	1.027933	1.875068	2.629268	1.141104	1.121439	1.084906	1.815777	1.116667	1.152174
INF2	1.14	1.04918	0.692308	0.947761	1.247423	1.155963	1.253249	1.291667	0.993671
UQCRHL	0.93038	0.942029	1.0	0.92093	0.952105	0.922156	0.936047	0.942085	0.901961
B4GALT1-AS1	0.762887	0.9	1.010526	0.906933	0.84058	0.86385	0.86051	0.85211	0.854271
