GENE	721_B_lymphoblasts	Adipocyte	BDCA4+_DentriticCells	BronchialEpithelialCells	CD105+_Endothelial	CD14+_Monocytes	CD19+_BCells(neg	CD33+_Myeloid	CD34+	CD4+_Tcells	CD56+_NKCells	CD71+_EarlyErythroid	CD8+_Tcells	CardiacMyocytes	Colorectaladenocarcinoma	Leukemia_chronicMyelogenousK-562	Leukemia_promyelocytic-HL-60	Leukemialymphoblastic(MOLT-4)	Lymphoma_burkitts(Daudi)	Lymphoma_burkitts(Raji)	SkeletalMuscle	SmoothMuscle	Spinalcord	TestisGermCell	TestisLeydigCell
MZT2A	1.44186	0.429752	1.25	2.286024	1.661183	0.808333	1.481132	1.102564	1.643388	1.668654	1.257699	2.719847	1.375457	1.073529	2.582096	2.145463	1.05314	3.466187	3.139021	6.153835	0.711287	1.900595	0.846154	1.338028	0.752809
MZT2B	1.441596	0.430484	1.25	2.284963	1.661789	0.808219	1.481481	1.102564	1.642857	1.668173	1.257596	2.721611	1.375186	1.073483	2.581187	2.144415	1.053097	3.463961	3.137015	6.161381	0.711111	1.9	0.846154	1.338346	0.752941
ATRX	1.404762	0.850498	9.567327	0.771331	1.877907	3.236802	12.206326	3.492382	2.32235	19.061674	12.539421	2.156065	13.849699	1.45	0.822485	0.76006	0.788732	0.802548	0.940171	0.871595	1.171315	1.538231	0.800432	0.62753	0.83237
PMM2	1.734488	1.405603	1.403974	1.658986	1.115044	2.335878	1.443548	1.389091	1.321128	1.3875	1.326733	0.94359	1.533104	1.343023	1.545455	1.262626	1.384615	1.297177	2.494844	1.012346	0.984356	2.722847	1.109871	1.054545	1.142857
PMM1	1.278107	1.343023	0.713457	1.48688	1.085947	1.044587	0.792828	0.981651	0.470185	1.247525	0.877863	1.561852	1.289474	0.829268	0.719494	1.0	0.855338	1.425837	0.849802	0.643093	0.833856	1.503721	1.313019	1.328609	1.154122
ASS1	0.305792	13.793086	0.056133	3.586997	0.033079	0.056772	0.081265	0.064726	0.12028	0.081265	0.056772	0.118005	0.085713	0.772152	12.387879	3.693444	0.269921	2.930537	0.294519	10.859712	0.969388	2.428135	0.689096	1.893138	3.023897
RP11-181G12.2	1.095986	1.157895	1.089633	1.272727	1.218083	1.081437	1.161415	1.127869	1.156118	1.127175	1.12963	1.224045	1.095125	1.081545	1.254717	1.183673	1.142857	1.114286	1.098901	1.031915	1.04701	1.252396	1.262309	1.063197	1.137405
NCBP1	0.92549	0.919149	0.883117	0.896552	0.939535	1.114007	1.0	1.121951	0.942544	0.904506	0.917647	1.720324	0.933333	4.853733	0.994764	0.907348	0.955098	0.852868	1.322034	1.690323	2.920678	0.964854	0.889952	0.827376	1.269663
NID2	0.83293	14.521475	0.929662	0.864013	1.270142	0.861878	0.887701	0.887052	1.257862	0.811321	0.846154	0.9	0.816901	81.059601	0.845478	0.832	0.859438	0.856026	0.876106	0.874214	0.946042	28.662321	0.927835	0.918182	1.321429
CAMK1	0.768026	3.369272	1.022624	0.929293	0.892562	6.416947	0.735846	2.635244	0.774552	0.935154	0.982922	0.691934	0.708033	0.875817	0.919315	0.878049	0.889688	0.888889	0.857143	0.856423	0.886543	0.92381	0.88	1.803231	0.882353
STYXL1	1.176471	1.019763	1.16	1.511321	0.982143	1.799127	1.088803	1.031746	0.86166	0.862595	1.167578	0.785425	0.880597	0.9319	1.367459	2.210526	0.983871	0.920863	1.247339	0.943125	0.964912	1.48293	1.218884	1.469027	1.149856
SPR	1.059467	4.761794	0.717557	1.0	0.961373	0.935593	0.993464	0.69267	0.649589	0.775976	0.79096	0.956217	0.777385	0.915556	9.527148	2.316038	0.802345	1.003891	2.206098	0.826446	1.512938	2.571737	0.690715	1.059467	2.51074
CEACAM3	0.8	2.472194	0.822485	1.0	0.986842	1.042904	1.116203	0.839779	0.754417	1.071038	0.912221	0.982922	1.036364	0.926987	1.246154	1.037037	1.03876	0.986667	0.963211	1.436031	5.123918	1.382716	1.385714	1.092308	1.295082
RNF114	1.596366	1.52381	2.742044	0.714974	0.765152	4.830964	2.910711	2.161767	2.522382	3.128531	2.312995	0.795203	3.097541	0.842975	5.429047	0.698245	0.844307	6.23586	0.691358	3.485752	0.866471	1.424245	0.797203	1.247191	0.762402
RNF115	1.206216	1.803922	1.394737	1.3875	1.471429	0.914556	1.440184	1.279985	1.268041	1.582418	2.976283	5.663326	1.855005	0.735133	0.818444	0.785714	1.539548	0.869856	1.587505	0.84058	0.864369	0.773946	0.409501	1.206061	0.937729
ZC3H15	3.641423	0.881818	3.137015	3.42306	2.823177	3.097541	5.132937	2.99171	3.365634	2.854974	3.041086	3.429212	2.54316	0.633558	3.860082	1.637427	3.139021	1.709288	2.091029	1.460465	0.230898	2.370709	0.026716	1.855005	0.8125
ZC3H14	1.355102	0.985294	1.313953	1.346939	1.435685	0.96875	1.235061	0.9875	1.206452	1.746445	1.2335	1.347299	1.555556	0.90411	0.995984	1.568625	1.341135	1.448684	1.039648	0.923077	1.076087	1.315645	0.689655	16.4475	17.763199
SPN	1.016129	0.649254	1.0	0.305792	1.269841	0.95802	0.876559	1.006452	1.049774	1.269406	1.249693	0.956044	1.257596	0.8	1.050228	0.742301	0.801932	0.796043	0.921569	1.100592	0.975124	0.647838	0.78626	1.171875	1.081157
NME5	0.873418	0.896815	0.864865	0.919481	0.863095	0.850069	0.841811	0.852575	0.846999	0.855856	0.842739	0.894737	0.890411	1.127413	0.891566	0.873333	0.895397	0.875445	0.880139	0.974843	1.010067	0.882682	0.895238	15.363424	38.667973
NACAP1	0.983498	1.06	0.927231	0.978571	1.025641	1.119454	1.209302	0.970085	1.1875	1.031008	0.919828	0.85	1.04	0.831407	1.013405	1.155556	1.381356	0.985915	1.237762	1.345567	1.020757	1.070588	0.892157	1.413043	1.282443
GRIN1	0.893659	1.541666	0.845238	0.912715	0.856293	0.806669	0.838983	0.865116	0.881657	0.843951	0.795203	1.436432	0.818605	0.882979	0.814815	1.286885	1.301885	0.992218	1.780999	0.907598	0.913043	0.806897	2.314705	0.748971	0.837209
DHX8	4.767305	1.015385	2.564122	1.72242	1.994978	6.627304	1.825	5.076464	2.176213	2.268361	3.427572	1.373699	2.732283	0.978417	1.119141	1.085838	1.083799	3.450107	0.979452	1.0	0.982621	1.168	1.054545	1.19224	0.991667
DHX9	1.972183	0.661567	1.97619	1.590617	5.160939	2.006665	1.909658	2.369736	3.850981	2.397534	2.181304	3.545116	2.261704	0.732037	1.776877	2.347869	1.967848	2.849817	2.402263	0.730799	0.599606	1.521323	1.453704	1.688372	1.059361
LOC441204	1.003353	1.025	1.0	1.067194	1.075905	1.073171	1.032746	1.043011	1.037838	1.046228	0.992674	1.103896	1.085366	1.228758	1.037344	1.045	1.055901	1.080139	1.213677	1.175926	1.126761	1.112701	1.11039	1.019005	1.146064
TCOF1	2.786521	0.922222	1.414365	1.291661	3.689348	1.424	1.537701	1.842787	3.303553	3.545116	1.44484	1.846195	4.897524	1.415586	2.795147	5.422492	2.282984	1.882379	2.524479	1.118812	1.506173	0.90389	0.844307	0.829002	0.907489
AC068039.4	0.8125	1.0	0.867725	0.884056	1.137159	0.978074	0.878505	1.149425	1.168	1.146067	0.891892	1.235602	1.15873	1.062241	0.888889	0.816148	0.990385	0.896226	1.004926	1.184211	1.372822	0.975369	1.162162	0.971014	1.712454
NUP98	2.227435	0.982252	1.248731	1.004082	1.812801	1.003663	1.05036	1.282759	3.347429	1.271605	1.211429	2.877917	1.927349	1.404145	4.272425	0.967742	0.984356	2.658083	0.931818	0.940092	0.938843	1.02285	0.932584	45.130177	34.047527
XPC	1.21544	2.30655	1.112701	1.448953	1.26385	1.494509	1.289855	0.961039	1.048193	3.992705	2.091029	0.967391	2.006665	0.54636	1.423077	1.354659	1.125218	0.872102	1.803922	2.802903	0.919828	1.417219	1.381008	0.854701	0.700527
SP1	0.913462	1.140244	0.988889	0.961112	0.939814	0.976589	0.978017	1.108696	0.936842	1.086207	1.092537	1.799722	1.0	1.068493	1.12069	1.0	1.033333	1.070175	1.109778	1.056694	1.309859	1.017094	1.0	1.015385	1.215861
SP2	1.041428	0.805464	1.262712	0.755319	1.288889	0.801235	1.261905	1.292576	1.532246	1.301724	1.68477	1.739981	1.682287	0.842809	2.894011	0.841811	0.958611	1.384229	0.80303	1.096348	1.038202	0.940299	1.053934	0.733333	0.896021
CEACAM6	1.0	0.986928	0.983193	1.494869	0.96	0.946488	0.972006	0.98324	1.0	1.006536	0.99187	0.955357	1.0	1.0	0.996198	0.941748	0.976192	0.947368	0.924855	0.954887	1.026217	1.395973	0.980392	1.009091	1.358542
NUP93	4.009993	1.52895	1.762701	2.815022	3.878443	1.865845	1.351724	1.505882	1.880239	1.365394	1.355556	2.490039	1.438131	1.009901	1.813482	6.304355	6.033112	9.29808	7.88889	2.38976	0.811189	1.700156	0.903978	3.902446	6.271186
CAMKV	0.951807	0.930233	0.822581	0.893424	0.894444	0.862069	0.923913	0.848987	0.943396	0.983784	0.976271	0.901961	0.990476	0.896936	0.910916	0.900585	0.914027	1.201754	0.873563	0.883117	7.898465	0.91158	0.885417	0.892857	0.890756
GOLIM4	1.071942	1.090909	1.018868	1.071429	1.07582	1.062016	1.057013	1.00073	0.992806	1.064039	1.009259	1.237209	1.014925	1.08355	1.040872	1.184211	1.092386	1.067416	1.028037	1.036496	1.10949	1.079051	1.197368	1.009146	1.127273
OPA3	1.252874	1.05314	1.084906	1.045226	1.033175	1.226211	1.018934	1.085106	1.014058	1.23569	1.057239	1.665092	1.068627	1.166667	3.900156	1.070588	1.076923	0.997305	1.145631	1.301587	1.243781	1.038462	1.071161	0.969388	1.004587
OPA1	1.25283	0.752688	0.8375	1.3353	1.26699	0.746449	0.731092	0.956522	1.110748	1.253333	1.204819	3.575731	0.959184	0.863787	1.661183	1.810774	1.64882	1.299492	1.102703	2.037176	0.95288	0.818182	3.300731	0.901639	0.972477
PRO1596	1.121138	0.931608	0.978474	0.990536	0.993789	1.198157	0.984962	1.0	1.006289	0.842105	1.203111	1.25	0.891377	4.441998	0.953975	0.976744	0.945312	0.872928	1.296296	1.894664	4.688708	1.020163	0.928145	0.925124	1.156398
LOC100996761	0.976139	0.983498	0.964602	0.979903	1.0	1.034014	0.979866	0.977778	0.886957	0.903846	0.921875	1.04918	0.906068	1.594597	0.977273	0.969697	0.954128	0.869048	1.307377	1.257016	11.100732	1.028423	0.974576	0.90502	1.051505
RAB40C	1.043269	1.333333	1.003725	1.27572	1.075709	1.147059	1.151333	1.168	1.091989	1.055556	1.111111	1.164751	0.993007	1.05814	1.283582	1.133333	1.185424	1.151261	1.046875	1.054945	1.010309	1.252632	1.248408	1.095666	1.128788
RAB40B	0.612071	0.69119	1.030612	0.766234	1.397377	0.598025	0.727079	0.570897	1.255102	0.952381	0.712397	0.726831	0.80663	1.44	1.066265	0.595469	0.630157	0.58719	0.613718	0.688	1.066021	0.539683	28.878403	0.364742	0.8
RAB40A	0.936709	1.029703	0.919315	1.009146	0.911854	1.040872	1.258687	0.910714	1.189964	1.132353	0.909091	1.360866	1.003353	2.27751	1.12253	1.026217	1.043478	0.941176	1.481481	1.843977	1.437915	1.090909	1.3125	0.83	1.313771
COL7A1	0.838838	0.830508	0.801136	5.784297	1.108312	0.790508	0.660517	0.827434	0.752187	1.182137	0.983333	1.514286	1.048128	0.781065	1.381944	1.082645	1.265957	0.992126	1.387253	0.980769	1.860465	1.047619	2.367582	1.14377	1.524528
GTSE1	3.402967	1.32973	1.083856	1.094405	1.39823	1.07377	1.057239	1.147618	1.100917	1.046512	1.034722	11.420545	1.031963	0.989583	1.122302	1.073529	1.333333	1.15625	1.206897	1.002029	1.120332	1.116786	1.112603	0.990099	1.020896
ARFRP1	0.990536	1.140039	1.103825	0.751515	1.14966	0.876289	0.992	0.64532	0.795203	1.287449	1.142857	1.253012	0.943396	0.787611	0.940579	1.324675	1.297561	1.341463	0.920301	1.235556	6.094326	0.721816	2.166596	0.778775	0.955326
HBBP1	1.028302	1.015385	1.012195	1.112903	1.545455	1.036649	1.069182	1.070968	1.043478	1.004739	1.017182	5.273815	1.052308	1.064748	1.033962	1.083333	1.084112	1.017241	1.003861	0.97931	1.057013	1.085714	1.144144	1.071429	0.991304
RPRD2	0.720848	0.602838	0.693872	0.563236	0.719494	0.745645	1.256039	0.833735	0.477865	0.867133	0.827586	0.768496	1.013699	0.730262	0.833333	0.749141	0.736536	1.147727	1.525658	0.734791	0.987179	0.63534	0.763738	1.366906	3.059878
SPPL2B	1.267176	1.0	1.455782	1.206522	1.526902	1.112299	2.19765	1.382857	12.428981	1.298925	1.402985	1.054422	1.286624	1.0	1.121951	1.196805	0.99422	1.154412	1.12253	1.908072	1.043902	1.026549	1.18552	1.014925	1.125828
NSL1	0.893179	0.95802	0.82906	0.923077	1.075472	1.052083	0.993506	0.957746	0.843126	0.851351	0.858891	1.318966	0.9	2.359151	0.941432	0.932584	0.966421	0.891566	1.296417	1.462129	3.01505	0.948988	0.901554	0.862974	1.403974
ITGA9	1.017561	1.583793	0.983193	0.989474	0.96	0.922353	0.992405	0.983193	0.970874	0.961424	0.991736	0.93401	1.0	1.0	0.94362	0.941782	0.976303	0.947644	0.944162	0.937294	1.061947	0.956758	0.980237	1.555556	1.031802
UGCG	1.787857	0.135661	61.660385	3.860082	3.044359	1.452866	13.972039	0.782946	3.030506	2.311197	1.272031	4.606345	1.269663	1.438131	11.437596	1.43009	0.640132	0.318953	0.9	0.319788	0.641646	9.475702	0.023401	0.230898	0.223959
ATP2A1	1.153509	1.147826	1.131925	1.279279	1.151163	1.103704	1.183099	1.191837	1.08642	1.20332	1.166667	1.194139	1.198236	1.0	1.121622	1.259259	1.07563	1.232143	1.109244	1.059361	363.573029	1.208191	1.168459	1.213793	1.125
ATP2A2	1.643965	0.56178	1.569977	4.187667	1.506173	0.851852	0.567164	1.460177	1.407407	0.665205	1.235955	0.425508	0.83009	0.824242	1.635625	2.541413	2.460738	1.294872	1.8272	0.890909	0.115746	4.132732	0.506479	3.762692	2.58786
ATP2A3	1.41704	1.319444	18.546198	1.25	1.182137	1.246753	15.415259	1.215385	2.98208	12.735839	1.474032	1.035398	8.67011	0.991935	1.121387	1.017699	1.247423	1.391753	1.029787	1.024286	0.977528	1.269231	1.049834	1.18593	1.0
ITGA1	0.785193	0.896175	0.689096	0.891214	0.894737	0.987179	0.867925	0.860759	0.821918	0.780389	0.825539	1.188119	0.782609	2.977893	0.93188	0.830549	0.942263	0.759908	1.200999	1.40625	2.590438	1.320005	0.888889	0.826146	1.620275
ITGA2	0.870263	1.029412	0.865854	5.434495	0.99435	0.963989	0.945736	0.939502	0.960784	0.981818	0.921162	1.0	0.93401	2.656824	1.121311	1.00816	1.033113	0.990148	1.023697	1.0	1.222222	1.092308	1.054688	1.018692	1.46114
ITGA3	0.772455	0.871495	0.821429	20.933128	0.787969	0.735683	0.962099	0.817518	0.792626	0.736894	0.977726	0.855206	0.761122	10.668009	14.46327	0.956522	0.797687	0.923077	0.927273	0.913978	1.3875	1.496791	1.44	0.955556	0.952381
ITGA4	1.255695	1.0	9.279242	0.950495	6.828429	5.000231	2.341029	4.761794	6.065876	12.056483	3.575731	8.391572	12.428981	1.651852	0.994652	0.972603	1.244898	12.17721	1.320005	1.296801	2.002821	1.0	0.98983	0.875	1.052133
ITGA5	0.727391	5.94297	0.659518	2.60382	0.61651	2.376542	0.516071	1.822114	1.371429	1.530612	1.523152	0.673959	1.322034	13.0	0.888087	1.925532	0.621622	1.167939	0.668911	0.779343	1.369855	12.306105	0.728723	1.398691	2.441921
ITGA6	0.658511	0.735683	0.632807	33.047726	0.73251	0.631579	0.714286	0.61801	1.309278	3.463961	1.309859	0.829268	4.567456	1.156757	32.786327	0.56831	3.168489	0.566454	0.728889	0.85087	1.222222	0.658511	3.209322	3.748174	1.71855
ITGA7	0.875862	15.794253	0.975293	0.854237	0.931562	0.818792	0.868571	0.882353	0.800995	0.944099	0.874372	0.891214	0.904564	0.875	6.605233	0.788321	0.902778	0.708431	0.731636	0.897338	10.069423	0.854545	2.583974	1.061224	1.301433
TRHR	1.065868	1.23569	1.069124	1.133005	1.182692	1.169242	1.113438	1.252747	1.0	1.184649	1.082392	1.068927	1.173913	1.0	1.282051	1.267857	1.149051	1.063415	1.046358	1.159763	1.238512	1.131868	1.274597	1.076923	1.060606
DENND4A	1.318377	0.988048	0.951033	0.979381	1.274725	1.262626	1.247191	0.969388	1.056286	1.005848	1.012216	1.929086	1.2899	1.279985	1.004678	0.992537	1.057239	0.936051	1.17037	1.216783	1.208333	1.06015	1.047619	0.967391	1.136322
DENND4B	1.585	0.051408	4.367409	0.169549	1.646088	4.575126	5.491414	5.868506	2.264294	7.424503	4.935355	1.260116	6.116114	0.181471	0.576686	3.952389	2.913763	1.409326	3.731987	5.136292	0.893659	0.13382	2.089307	0.137323	0.573497
DENND4C	1.285714	0.976589	0.881506	0.776596	0.784389	1.355944	0.910345	0.845238	0.773109	2.193862	1.609495	0.997691	2.029201	0.891667	0.788321	0.889734	1.303704	0.8	0.901099	1.304348	5.030387	0.884393	0.787182	1.313131	1.0
SWAP70	11.100732	1.686013	1.548436	1.52895	0.656011	2.305366	20.820866	1.597223	1.757339	0.624457	2.200754	0.755906	0.596286	8.74327	1.949871	0.623356	94.637543	0.685161	9.896104	66.419823	1.279985	9.165225	0.921162	0.33817	0.821918
PREB	1.64794	4.50022	3.319	2.237768	1.269231	1.611111	1.846937	1.811224	1.738893	1.507313	1.5	1.898763	1.67208	0.98232	4.727689	0.918367	1.974896	3.706594	2.56906	2.002821	1.081157	2.011412	0.864721	1.185592	1.844595
PHLDA1	0.875576	0.829176	0.849515	112.530884	0.772152	0.8	0.7686	0.863044	0.779343	0.79902	0.791551	0.844307	0.842901	39.853924	96.292046	0.837209	0.802867	0.773109	0.809859	0.842105	0.930233	22.176991	0.898113	0.80292	0.857143
PHLDA3	0.762136	12.638754	0.810552	2.271836	1.227273	0.74938	1.193182	0.794243	0.739493	0.935673	0.75337	1.083056	1.235294	1.309092	4.088129	0.796117	0.646902	1.22293	0.749141	0.97561	0.958678	2.699662	3.039077	1.207143	1.064516
PHLDA2	1.134328	1.296875	1.109871	1.319149	1.214953	1.073621	1.208286	1.147727	1.13842	1.170213	1.115702	1.362397	1.09901	1.1125	1.116444	1.073483	1.190476	1.156028	1.058824	1.185728	1.058824	1.225806	1.112782	0.99	0.983871
LOC101060601	1.059701	1.016216	1.281818	1.161195	1.0	0.948617	1.176074	1.0	1.315506	0.992519	0.955631	1.047619	1.013699	1.306878	1.018587	1.086957	1.04489	1.455172	1.712454	1.062966	1.110546	0.978166	1.0	1.035913	3.312346
GAP43	0.772277	0.764759	0.707317	0.787278	0.780303	1.238095	0.939394	0.771135	0.78626	0.78607	0.760232	0.837369	0.745269	3.762692	0.786325	0.762136	0.80663	0.744395	0.806723	0.930876	1.581197	0.811594	14.521475	0.666667	0.902778
LOC101060605	0.900535	0.859583	0.63965	0.689096	0.818039	0.846906	0.987047	0.886667	0.685428	1.026549	0.848434	1.887997	0.801325	29.025978	4.055476	0.875	0.798165	0.767129	1.256343	5.337507	3.938391	0.867925	0.889688	0.930335	2.196035
LOC100652777	0.974026	1.02439	0.992218	1.166667	1.003509	0.965517	0.976271	0.990476	0.944444	1.034091	0.961749	0.990099	1.021277	1.019481	1.070588	1.054688	1.085627	1.011858	1.004878	1.16021	1.037838	1.042553	1.022252	1.068966	1.332162
PAMR1	0.583436	5.082901	0.295507	1.328609	0.837945	0.698245	0.370615	0.470185	0.444444	0.481892	0.788475	0.822485	0.585925	7.971897	0.95	1.313953	0.707816	0.770919	0.723947	1.069767	0.999443	20.402069	13.321067	0.816479	1.271186
ZNF37BP	0.916667	1.070968	0.947586	1.049645	1.015873	1.008264	1.251064	1.0	0.990476	1.660009	1.311258	1.283951	1.783509	1.371134	1.076923	0.996733	1.085714	1.005587	1.105455	1.26437	1.721854	1.053061	1.0	0.959184	1.153226
HRH4	1.065693	1.153416	1.094203	1.260274	1.147538	1.09434	1.172897	1.208556	1.106918	1.193717	1.075472	1.071677	1.141732	1.095358	1.116022	1.157522	1.11039	1.077927	1.06599	1.065574	0.994924	1.173077	1.146337	1.106667	1.016529
FBXL12	1.430462	1.208333	1.328063	0.974359	0.76006	1.344086	1.252033	0.809249	0.779796	1.464286	0.899598	0.623744	1.758611	0.921875	0.945455	2.106292	1.393258	2.455789	0.864198	0.893789	0.957265	1.557003	0.765391	0.988095	0.872428
TIPRL	1.967848	0.661022	1.372036	0.957096	1.408451	1.941354	1.815458	1.260234	2.689005	1.303704	4.02946	0.863095	1.454259	0.945455	0.901235	2.203431	2.578446	1.277778	0.896074	0.944205	0.92517	0.652772	1.297177	0.880734	0.784858
CYP27B1	1.057692	1.11194	0.956975	2.133942	1.114534	1.068376	1.0	1.051687	0.969072	1.004587	1.007692	1.049689	0.976471	1.078947	1.298925	1.295699	1.168766	1.115	1.547563	1.219394	1.052632	1.164336	1.273722	1.066667	1.130435
HRH1	0.979452	0.955865	0.99887	0.945312	0.929231	0.910082	0.932907	0.975207	0.948988	0.969072	0.930978	0.954602	0.949309	1.275362	0.915094	0.944649	0.930233	0.909091	0.9	0.921659	1.64882	2.32235	0.93932	0.901961	1.223684
FAM169A	0.965517	0.944444	0.917293	0.940711	1.044587	0.943662	1.026549	0.909836	0.980769	1.019005	1.259542	1.013514	1.091837	1.414634	1.078261	1.026455	0.99798	1.0	1.064935	1.23647	1.490008	0.91515	1.00599	0.979903	1.188976
FBXL18	0.917739	3.545116	0.991198	1.068783	1.013624	0.803797	0.94517	0.801932	0.853211	0.79397	0.87372	0.985075	0.8	1.181395	1.0	1.015873	0.875767	0.886717	1.261538	1.0	4.632254	1.04878	0.9496	0.925	1.131313
OTTHUMG00000173477	0.777494	1.081545	0.724832	0.810507	0.95288	1.274194	0.866841	0.804651	0.788571	0.807692	0.872881	1.408696	0.751678	4.409874	0.79845	1.129848	0.916667	1.070968	1.450704	1.293413	7.805369	1.118227	1.060403	0.716981	2.303233
ABCB1	0.911392	1.0	0.915966	0.970588	0.865801	0.938333	0.985755	0.868876	1.0	2.55196	4.284724	0.948718	10.948415	1.075709	0.960938	0.922693	0.940171	0.970588	0.930335	1.006803	1.074286	0.898174	0.968085	0.931174	1.95189
SDK2	0.961905	1.021277	0.871495	0.942475	0.98	0.97619	0.929577	0.890909	0.928814	0.965909	1.0	1.657908	0.992958	0.925	0.875	0.981651	0.955224	0.976471	0.926724	0.919874	1.052177	0.947368	1.408907	0.923077	1.245161
ACTG1P4	0.785714	0.802867	0.924444	0.776699	0.92887	1.280632	0.860034	0.984375	0.901186	4.558208	0.850932	0.947368	9.581135	2.716546	0.79758	0.78081	0.867052	0.753247	0.901961	1.262799	2.679902	0.8755	0.834225	0.749588	1.072848
GRP	0.892086	1.594966	0.894644	0.961039	0.925373	0.943925	0.915659	0.912402	0.915556	0.896936	0.911917	1.005025	0.886598	1.423274	1.0	1.0	0.984848	0.933333	1.068182	1.231481	1.137001	0.985507	0.984252	0.959016	1.407407
THSD4	1.102564	1.184426	1.050228	1.263736	1.075269	1.100233	1.117021	1.168459	1.081481	1.128906	1.090194	1.064901	1.075709	1.225	1.240593	1.066667	1.064748	1.128205	1.027778	1.117188	1.026047	1.200749	1.163333	1.112426	1.031915
FAM212B	0.923077	1.602096	0.831407	0.768026	1.123288	1.142857	0.804293	0.918552	0.997101	1.133005	1.109375	1.003559	1.120988	1.27599	1.035913	1.117021	1.128448	1.07772	1.0	0.963542	2.176213	1.087948	1.142857	1.123457	1.038168
THSD1	0.809524	1.017544	1.169231	1.312883	0.92735	0.933312	0.965517	0.922449	1.19088	1.0	1.202532	1.15847	1.118421	1.066038	1.447619	1.096491	0.813115	1.358449	1.085202	1.117647	1.0625	0.979368	1.305556	1.105263	1.003077
LOC100506403	0.888201	0.941176	1.028169	0.966887	0.947368	1.301724	0.885571	1.312374	1.439446	1.26699	0.902724	0.926316	1.060606	0.953488	0.964467	0.903226	0.883375	1.296	0.905923	2.1003	1.28223	0.826375	2.706082	0.786164	0.931751
COL4A5	1.0	0.853893	0.887526	4.792849	0.775362	0.829268	0.821207	0.779221	0.752505	0.809668	0.807824	0.846442	0.815744	0.916996	0.828402	0.842105	0.837209	0.900182	0.888889	0.875	1.044586	1.246753	11.389766	1.385714	1.310105
COL4A4	1.039548	1.111111	1.062966	1.073826	1.101299	1.082803	1.064103	1.069767	1.041575	1.050847	1.096296	1.209622	1.056075	1.173913	1.062109	1.213677	1.206897	1.037433	1.197279	1.117318	1.142857	1.279188	1.254902	1.004115	1.062201
