GENE	721_B_lymphoblasts	Adipocyte	BDCA4+_DentriticCells	BronchialEpithelialCells	CD105+_Endothelial	CD14+_Monocytes	CD19+_BCells(neg	CD33+_Myeloid	CD34+	CD4+_Tcells	CD56+_NKCells	CD71+_EarlyErythroid	CD8+_Tcells	CardiacMyocytes	Colorectaladenocarcinoma	Leukemia_chronicMyelogenousK-562	Leukemia_promyelocytic-HL-60	Leukemialymphoblastic(MOLT-4)	Lymphoma_burkitts(Daudi)	Lymphoma_burkitts(Raji)	SkeletalMuscle	SmoothMuscle	Spinalcord	TestisGermCell	TestisLeydigCell
ACOT2	0.009068	1.0	0.006256	0.004569	0.009911	0.004358	0.007873	0.009138	0.023408	0.007521	0.009068	0.004218	0.004218	0.013286	0.015394	0.0	0.0	0.001125	0.009419	0.011809	0.019682	0.009279	0.010614	0.036272	0.006467
ACP5	0.010762	0.003812	0.143493	0.006054	0.026681	0.173986	0.817911	0.01973	0.010089	0.057397	0.016143	0.003587	0.027802	0.010986	0.004036	0.0778	0.001121	0.0	0.010538	0.013452	0.008296	0.008072	0.005829	0.000224	0.004036
ACSL1	0.064257	1.0	0.007449	0.026415	0.042254	0.074054	0.001825	0.18402	0.026115	0.000538	0.006477	0.003291	0.000927	0.005459	0.03675	0.008585	0.051558	0.0	0.004592	0.205229	0.020207	0.006417	0.058064	0.000942	0.002692
ACSL6	0.004677	0.00314	0.003675	0.002405	0.005613	0.005479	0.00461	0.008753	0.007016	0.008085	0.006548	1.0	0.005212	0.01303	0.003742	0.002272	0.002539	0.0	0.010624	0.012762	0.01343	0.006749	0.006481	0.0443	0.020045
ACSM3	0.111033	0.001506	0.00261	0.001506	0.001707	0.002209	0.002309	0.003915	0.011244	0.002309	0.003313	0.001205	0.001305	0.004116	0.001707	1.0	0.000703	0.0	0.004016	0.00502	0.003313	0.002811	0.002309	0.000201	0.001807
ACTA2	0.025064	0.249598	0.001403	0.014004	0.000461	0.006938	0.003867	0.007321	0.002473	0.001492	0.005937	0.001266	0.005132	0.376359	0.017635	0.00104	0.000834	0.0	0.003484	0.014681	0.049185	0.465054	0.121138	1.0	0.559931
ACTL6A	0.342148	0.0	0.006116	0.090304	0.245728	0.008275	0.007915	0.018888	0.582839	0.010613	0.023026	0.039935	0.006296	0.039036	1.0	0.044073	0.138694	0.0322	0.153985	0.105055	0.024645	0.03238	0.006476	0.040115	0.04839
ACTN1	0.0	0.161707	0.020197	0.524664	0.029813	0.106697	0.001534	0.159889	0.156083	0.147688	0.005525	0.001207	0.156537	0.241829	1.0	0.020482	0.000369	0.013138	0.002542	0.003295	0.002329	0.497976	0.004559	0.038293	0.01078
ACTN4	0.041384	0.050493	0.087948	0.145594	0.043919	0.065488	0.049836	0.084755	0.063609	0.02462	0.156754	0.034779	0.029081	0.090311	1.0	0.077571	0.018375	0.000642	0.016028	0.036219	0.0	0.171232	0.027422	0.024073	0.017593
ACTR2	0.442913	0.015208	1.0	0.017606	0.134627	0.249326	0.320572	0.916467	0.23172	0.212466	0.917815	0.010339	0.195909	0.007042	0.001199	0.000974	0.013785	0.008541	0.002922	0.00427	0.002023	0.011088	0.001648	0.0	0.001124
ADA	0.169291	0.002636	0.236663	0.017107	0.007179	0.002306	0.000841	0.004248	0.130823	0.0248	0.094811	0.000438	0.031468	0.001463	0.001207	0.000621	0.006409	1.0	0.010696	0.319643	0.000914	0.002599	0.000621	0.000108	0.000731
ADAM28	0.007713	0.006789	0.066001	0.006481	0.006558	0.007944	1.0	0.011101	0.014566	0.007174	0.014797	0.006327	0.005557	0.0101	0.006789	0.005788	0.011101	0.005095	0.011563	0.012872	0.011101	0.007944	0.011255	0.004787	0.039591
ADAMDEC1	0.507533	0.402273	0.458662	0.406032	0.41731	0.454903	0.443625	0.541366	0.507533	0.443625	0.488736	0.394754	0.36468	0.605274	0.421069	0.375958	1.0	0.323328	0.556404	0.63159	0.586478	0.473699	0.447384	0.323328	0.439866
ADAMTS1	0.006209	0.417244	0.005375	1.0	0.006939	0.006418	0.00746	0.006991	0.006678	0.008033	0.026169	0.006835	0.007721	0.042065	0.005323	0.00673	0.008867	0.008867	0.010431	0.0109	0.02742	0.924172	0.168757	0.079484	0.043472
ADAP2	0.008551	0.004642	0.051307	0.003665	0.008551	0.842658	0.011972	1.0	0.008796	0.014659	0.038603	0.002688	0.004886	0.00904	0.004886	0.002688	0.000244	0.000244	0.011972	0.014659	0.00904	0.004642	0.015636	0.0	0.004398
ADD2	0.003469	0.001823	0.002324	0.001752	0.965876	0.002467	0.002467	0.004041	0.048466	0.002539	0.003254	1.0	0.001752	0.003469	0.001966	0.004542	0.001251	0.000893	0.003612	0.004255	0.003182	0.00261	0.002467	0.000965	0.001966
ADIRF	0.008345	1.0	0.002863	0.122443	0.004763	0.004544	0.00279	0.007468	0.007395	0.006298	0.006371	0.004544	0.005933	0.012511	0.141155	0.006298	0.008052	0.003448	0.014996	0.014996	0.015435	0.015216	0.147807	0.070255	0.039336
ADORA2A	0.362486	0.014263	0.054979	0.014263	0.016406	0.022835	0.963571	0.121409	0.037835	0.372129	0.052836	0.008906	0.634635	0.036764	0.015335	0.007835	0.377486	0.000335	0.371057	1.0	0.029264	0.027121	0.019621	0.002477	0.014263
ADORA2B	0.009317	0.004822	0.00657	0.401645	0.005072	0.006321	0.006321	0.009817	0.009567	0.006321	0.008318	0.003823	0.004572	0.595186	0.151414	0.003573	0.003074	0.002075	0.009317	0.011315	0.00682	1.0	0.006071	0.002575	0.004822
AFAP1	0.043742	0.098421	0.041312	0.089915	0.102066	0.154314	0.099635	0.144593	0.131227	0.064399	0.094775	0.123937	0.015796	1.0	0.08627	0.060753	0.064399	0.0	0.250304	0.37181	0.573512	0.404617	0.109356	0.00729	0.1774
AGBL5	0.039706	0.006293	0.005844	0.021726	0.006143	0.00015	0.007042	0.004645	0.07297	0.002248	0.002847	0.0	0.001948	0.010488	0.074918	0.014984	0.012436	0.066527	0.052143	0.014384	0.016632	0.014684	0.007192	1.0	0.946359
AHNAK2	0.003964	0.108186	0.003437	1.0	0.002911	0.003043	0.003174	0.004293	0.004227	0.003306	0.003832	0.002516	0.002714	0.004359	0.003174	0.002319	0.002187	0.001792	0.004161	0.004819	0.003569	0.006267	0.011596	0.007912	0.002779
AIMP2	0.837917	0.120794	0.158695	0.618233	0.472934	0.251123	0.064849	0.152076	0.481759	0.0	0.210622	0.056497	0.020014	0.183516	0.608069	0.344575	0.488141	0.01702	1.0	0.810338	0.123001	0.22575	0.071468	0.330549	0.354582
AK1	0.002511	0.196395	0.005829	0.043135	0.967447	0.001076	0.003497	0.004843	0.05838	0.178459	0.075778	0.786656	0.157475	0.068783	0.064837	0.008161	0.00278	0.0	0.009327	0.031477	1.0	0.100439	0.327056	0.145458	0.063492
AK2	0.5716	0.011131	0.876655	0.01414	0.029483	0.114621	0.012936	0.292419	1.0	0.031288	0.161252	0.007822	0.056558	0.033393	0.01775	0.040915	0.024669	0.034296	0.037004	0.034898	0.03219	0.018051	0.010529	0.0	0.009928
AKAP12	0.001887	0.957461	0.001801	0.046741	0.066209	0.0	0.004888	0.014751	0.128302	0.021012	0.002316	0.017581	0.006346	0.114837	0.632333	0.054202	0.037736	0.027787	0.009005	0.046055	0.051544	0.382161	0.174528	1.0	0.792453
AKAP3	0.007913	0.003343	0.005399	0.003571	0.0038	0.004714	0.004714	0.008142	0.007913	0.005171	0.006771	0.002657	0.003114	0.007685	0.0038	0.0022	0.001514	0.0006	0.007913	0.009742	0.005628	0.005628	0.004485	1.0	0.746779
AKR1C1	0.008727	1.0	0.00153	0.650096	0.05775	0.000603	0.001293	0.000927	0.01127	0.000733	0.000797	0.021613	0.000302	0.104187	0.000603	0.02769	0.002758	0.0	0.001056	0.002952	0.011895	0.133062	0.076777	0.032323	0.010451
AKR1C2	0.004668	1.0	0.00226	0.734024	0.01991	0.001534	0.000577	0.000346	0.005031	0.001534	0.004041	0.011794	0.0	0.04952	0.001237	0.008561	0.001501	0.000429	0.000792	0.002755	0.004338	0.074907	0.046089	0.013955	0.003629
AKR1C3	0.007249	0.804738	0.007523	0.425899	1.0	0.000797	0.000673	0.001271	0.197678	0.000872	0.461772	0.036247	0.000399	0.021474	0.000623	0.000349	0.000299	0.0	0.00142	0.001819	0.00142	0.214344	0.000847	7.5e-05	0.000673
ALDH1A1	0.005143	0.010011	0.012404	0.004483	0.411733	0.260664	0.005886	0.287314	0.397542	0.004071	0.005391	0.020737	0.003081	0.021892	0.006381	0.010836	0.006133	0.005391	0.011001	0.014714	0.018839	0.011661	0.244493	1.0	0.245731
ALDH1A2	0.176404	0.236264	0.231447	0.189476	0.167459	0.187412	0.195669	0.270666	0.203238	0.239704	0.162642	0.208742	0.175715	0.230759	0.215622	0.552767	0.165395	1.0	0.414469	0.319518	0.900233	0.198421	0.243832	0.219751	0.476393
ALDH3B1	0.00877	0.008138	0.099883	0.008138	0.00953	1.0	0.010416	0.522165	0.014212	0.007505	0.031802	0.044583	0.005227	0.015098	0.014718	0.006746	0.006113	0.004848	0.013959	0.016743	0.013706	0.011301	0.009783	0.005354	0.009656
ALDH5A1	0.023188	0.003132	0.090752	0.0	0.021922	0.003598	0.036914	0.017657	0.092417	0.01839	0.017391	0.03085	0.024987	0.003598	0.009662	0.012393	0.308969	0.010594	1.0	0.415245	0.016658	0.0008	0.063633	0.004398	0.004264
ALDOC	0.353465	0.036142	0.001244	0.04348	0.000174	0.00107	0.010273	0.000821	0.000672	0.016467	0.006716	0.0	0.011641	0.014104	0.009079	0.109646	0.136113	0.108079	0.023556	0.50092	0.006442	0.04353	1.0	0.008955	0.01388
ALG8	0.496382	0.043415	0.354559	0.12301	0.318379	0.050651	0.143994	0.390014	0.719971	0.044862	0.073082	0.0	0.03835	0.058611	0.070188	1.0	0.223589	0.182344	0.418958	0.053546	0.026773	0.041245	0.041245	0.995658	0.295224
ALOX5AP	0.096774	0.000401	1.0	0.001149	0.000383	0.138575	0.214294	0.277733	0.0233	0.13062	0.241498	0.000292	0.115056	0.000949	0.000383	0.000255	0.051361	0.00135	0.104857	0.179463	0.000675	0.000712	0.005674	0.0	0.000347
ALS2CL	0.255814	0.298449	0.099806	0.324935	0.08947	0.00646	0.096576	0.261305	0.0	0.359496	0.185077	0.204457	0.211886	1.0	0.44832	0.199612	0.254845	0.223514	0.556847	0.640181	0.512597	0.258398	0.436369	0.140504	0.307816
AMFR	0.015426	0.010731	0.010731	0.015426	0.024816	0.192488	0.020121	0.120054	0.018109	0.032864	0.054326	0.010731	0.018779	0.084507	0.050302	0.04829	1.0	0.0	0.620389	0.947686	0.081824	0.050302	0.04829	0.0	0.022133
AMIGO2	0.004151	0.005845	0.232464	1.0	0.005845	0.004321	0.037021	0.011098	0.008895	0.107591	0.0449	0.001017	0.169604	0.24551	0.005591	0.058031	0.0	0.002796	0.009658	0.008387	0.013216	0.180193	0.011945	0.1286	0.008472
AMMECR1	0.131094	0.005867	0.006146	0.120338	1.0	0.002933	0.015295	0.023886	0.168669	0.056991	0.049029	0.895656	0.068306	0.011664	0.003352	0.003003	0.006286	0.0	0.006216	0.008102	0.005168	0.043162	0.002654	0.00021	0.002514
ANK1	0.006453	0.003348	0.004771	0.00283	0.562881	0.004771	0.012664	0.007747	0.024052	0.005418	0.006712	1.0	0.002701	0.009947	0.003477	0.004512	0.003348	0.000242	0.014735	0.011888	0.169888	0.005418	0.004642	0.00063	0.004124
ANK2	0.020018	0.178813	0.014638	0.014121	0.014845	0.015776	0.015673	0.018776	0.017845	0.015259	0.016811	0.014638	0.013397	0.023225	0.015259	0.013397	0.013293	0.011431	0.021052	0.024259	0.024466	0.017018	1.0	0.036777	0.016293
ANKRD27	0.192144	0.0	0.046591	0.029797	0.160813	0.082257	0.019594	0.020948	1.0	0.146817	0.146185	0.002528	0.143115	0.002438	0.047223	0.089391	0.293454	0.005779	0.01842	0.297607	0.004786	0.019232	0.016072	0.046682	0.002619
ANKRD36B	0.013575	0.001357	0.026697	0.000323	0.006723	0.00278	0.003361	0.004266	0.114092	0.625016	0.007886	0.001487	1.0	0.011054	0.002909	0.0	0.000129	0.013769	0.006787	0.010924	0.013704	0.003814	0.002069	0.258824	0.087977
ANKZF1	0.393617	0.015071	0.077128	0.014184	0.02039	0.032801	0.220745	0.042553	0.108156	0.961879	0.137411	0.032801	0.992908	0.036348	0.017731	0.026596	0.116135	0.093085	0.039894	1.0	0.031028	0.028369	0.022163	0.0	0.015071
ANXA3	0.006479	0.005363	0.005611	1.0	0.005549	0.005859	0.005611	0.007036	0.006788	0.005673	0.006355	0.005115	0.004929	0.008028	0.295724	0.005549	0.004806	0.004124	0.007346	0.008337	0.007036	0.006726	0.006045	0.004248	0.005487
AOAH	0.003499	0.002288	0.12966	0.002086	0.004104	1.0	0.003162	0.858229	0.022877	0.021733	0.713027	0.002153	0.034585	0.004374	0.00222	0.00148	0.000942	0.000606	0.004845	0.005585	0.010968	0.003566	0.005248	0.0	0.002893
AOC3	0.001371	1.0	2.9e-05	0.001028	0.001428	0.001856	0.001342	0.002342	0.002284	0.001542	0.001942	0.001371	0.000543	0.005683	0.001171	0.000742	0.000657	0.0	0.003398	0.004455	0.004883	0.002142	0.001685	0.03501	0.003769
AP3S1	0.805307	0.442292	0.660047	0.633567	0.216886	0.518314	0.51267	0.515058	0.452385	0.183624	0.47447	0.0	0.192143	0.250258	0.24863	0.122036	1.0	0.21184	0.265994	0.275218	0.010798	0.452548	0.192143	0.270226	0.125943
APH1B	0.014988	0.002963	0.006797	0.002788	0.003486	0.021436	0.004357	0.019868	0.008191	0.00488	0.008017	0.000523	0.002614	0.007145	0.002266	0.001394	0.001394	0.0	0.006971	0.008714	0.011677	0.006274	0.003311	1.0	0.919136
APOBEC3B	0.79465	0.004572	0.067585	0.00346	0.588868	0.004633	0.004016	0.006981	0.00661	0.002224	0.007043	0.215049	0.0021	0.031754	1.0	0.026935	0.002409	0.0	0.011244	0.012664	0.018101	0.007228	0.003398	0.001112	0.00488
APOBEC3G	0.290966	0.0	0.162038	0.015109	0.000702	0.154315	0.249965	0.024544	0.004128	0.161223	0.862338	0.002808	0.272965	0.005701	1.0	0.002303	0.080233	0.002864	0.054621	0.216574	0.019433	0.00219	0.008397	0.066247	0.005813
APOC1	0.003512	0.392751	0.002341	0.002368	0.259789	0.001659	0.001905	0.003458	0.209019	0.00185	0.003567	0.008663	0.002313	0.002613	0.010325	0.219484	0.001223	0.002477	0.004167	0.003294	0.005693	0.003649	0.08118	0.001578	0.003867
APOD	0.001071	0.666485	0.00053	0.005591	0.00074	0.000966	0.000248	0.000773	0.000855	0.000602	0.000762	0.000309	0.0	0.001893	0.001915	0.003676	0.000955	0.002881	0.009763	0.005789	0.315049	0.004216	1.0	0.040889	0.047837
APOE	0.000214	0.30566	0.000132	0.00254	0.040623	0.000194	0.000169	0.000396	0.002392	0.000367	0.000206	0.001097	0.000103	0.009263	0.012071	0.01594	0.0	0.000355	0.000297	0.00181	0.000433	0.000148	0.063268	0.002875	0.004343
AQP1	0.002545	0.032201	0.00351	0.00816	0.134597	0.004299	0.00079	0.002895	0.002632	0.001053	0.00193	1.0	0.0	0.022287	0.00465	0.009827	0.005089	0.009915	0.012108	0.012986	0.051856	0.010792	0.846626	0.019303	0.016145
AQP9	0.015873	0.009346	0.011739	0.009346	0.009563	1.0	0.010651	0.189287	0.013697	0.010869	0.012827	0.008475	0.009128	0.013915	0.009563	0.00804	0.007823	0.006517	0.013697	0.01522	0.011521	0.011739	0.010651	0.00717	0.009346
AREG	0.001373	0.000976	0.002776	1.0	0.001129	0.001556	0.002288	0.005643	0.01156	0.001129	0.038158	0.001037	0.000824	0.004453	0.001312	0.003447	0.000549	0.0	0.002776	0.003904	0.004575	0.001739	0.001464	0.000275	0.002105
ARHGAP15	0.416426	0.000652	0.319955	0.000559	0.027097	0.183257	1.0	0.09228	0.536456	0.945339	0.553497	0.000279	0.855201	0.002421	0.000652	0.0	9.3e-05	0.121985	0.133346	0.005308	0.001769	0.001583	0.002421	0.018717	0.005401
ARHGEF3	0.042612	0.00116	0.02108	0.002901	0.001354	0.116684	0.045449	0.056086	0.008381	0.409812	1.0	0.000903	0.455776	0.006769	0.004513	0.001096	0.001096	0.0	0.004964	0.006447	0.005802	0.005802	0.00477	0.016697	0.00187
ARNTL2	1.0	0.004187	0.00578	0.138395	0.004585	0.005381	0.005381	0.008368	0.008368	0.005381	0.007173	0.003191	0.003589	0.01016	0.027484	0.00339	0.002594	0.001399	0.008368	0.010559	0.008169	0.013346	0.005381	0.001797	0.003988
ASB13	0.0	0.113584	0.032233	0.117421	0.128166	0.339217	0.072909	0.223331	0.311589	0.126631	0.084421	0.095932	0.102072	0.194935	0.142747	0.288565	0.511128	0.079048	1.0	0.649271	0.141213	0.099002	0.123561	0.083653	0.094397
ASGR1	0.009485	0.006643	0.009933	0.007092	0.00784	1.0	0.008587	0.32874	0.012475	0.008438	0.010531	0.006344	0.006045	0.013672	0.007541	0.005447	0.004999	0.003653	0.012924	0.016214	0.012475	0.009933	0.008886	0.004101	0.007242
ASNS	0.619385	0.017915	0.05964	0.364296	0.017469	0.0	0.080936	0.002794	0.024419	0.144967	0.062011	0.00108	0.12846	0.319566	0.61051	0.778699	0.327244	0.030759	0.401676	1.0	0.005541	0.134917	0.026814	0.023762	0.018972
ASRGL1	0.00454	0.004708	0.003699	0.002018	0.00454	0.023121	0.000925	0.052127	0.042711	0.00185	0.005549	0.000925	0.002606	0.008408	0.004708	0.007231	0.0	0.085758	0.006306	0.009417	0.008155	0.002859	0.023878	1.0	0.744829
ATAD3A	0.665198	0.089364	0.122719	0.034613	0.91567	0.066079	0.110762	0.081812	0.546885	0.123348	0.239773	0.329138	0.187539	0.069226	0.463184	0.745752	1.0	0.293896	0.086847	0.181246	0.023285	0.094399	0.02832	0.0	0.016992
ATG4A	0.011851	0.008619	0.010343	0.004094	0.028227	0.012497	0.01142	0.053437	0.007757	0.015729	0.021763	1.0	0.026718	0.009912	0.00474	0.002801	0.0	0.000215	0.011635	0.014006	0.007972	0.007757	0.006464	0.002801	0.009481
ATM	0.024562	0.000743	0.007798	0.000637	0.001485	0.002971	0.033581	0.034907	0.005358	0.752467	0.177294	0.000796	1.0	0.00435	0.001485	0.000637	0.005199	0.010133	0.034377	0.011088	0.00695	0.001645	0.004881	0.0	0.00122
ATP13A2	0.02961	0.003132	1.0	0.041947	0.009775	0.122995	0.035304	0.027807	0.107905	0.030749	0.085603	0.000949	0.033406	0.093385	0.013951	0.015754	0.01025	0.009016	0.005694	0.022397	0.006074	0.01509	0.075638	0.0	0.002467
ATP1B1	0.306071	0.004892	0.012	0.272203	0.02513	0.001338	0.001296	0.023206	0.033325	0.001004	0.001631	0.001129	0.000125	0.0309	0.023248	0.000376	0.000962	0.0	0.004098	0.042064	0.380958	0.011331	1.0	0.167001	0.006941
ATP2A1	0.000255	0.000115	0.000182	0.000122	0.000129	0.000155	0.000162	0.000268	0.000255	0.000175	0.000228	9.6e-05	0.000115	0.000248	0.000122	8.2e-05	6.2e-05	3.6e-05	0.000261	0.000321	1.0	0.000188	0.000155	5.6e-05	0.000122
ATP5I	0.116823	0.036768	0.115351	0.201793	0.216515	0.140782	0.110567	0.168242	0.245056	0.048356	0.160869	0.09746	0.035842	0.047774	0.036638	0.053805	0.270534	0.070961	0.111267	0.246112	0.07793	0.112917	0.123222	0.027413	0.0
ATP6V0A2	0.034393	0.011032	0.028553	0.009734	0.026606	0.026606	0.019468	0.032446	1.0	0.025308	0.058404	0.008436	0.014925	0.031797	0.01233	0.068138	0.002596	0.0	0.0305	0.044127	0.025308	0.018819	0.014925	0.015574	0.010383
ATP6V0E1	0.031089	0.121591	0.035234	0.133336	0.023489	0.219002	0.03247	0.107774	0.05596	0.024871	0.042142	0.029707	0.014508	0.822813	0.022107	0.013126	0.012435	0.0	0.062177	0.087048	0.091193	0.75649	0.031779	0.004145	0.035234
AURKA	0.84067	0.006503	0.008754	0.007254	1.0	0.008504	0.007003	0.015758	0.129065	0.004502	0.009505	0.918459	0.0	0.041021	0.791396	0.031766	0.003002	0.074287	0.047024	0.027514	0.01976	0.033517	0.009005	0.018259	0.046273
AUTS2	1.0	0.010037	0.352391	0.017418	0.004625	0.003051	0.014269	0.005708	0.02962	0.218953	0.672112	0.0	0.106672	0.0062	0.001968	0.001968	0.003247	0.002067	0.031096	0.019288	0.008955	9.8e-05	0.057075	0.02283	0.004625
BAALC	0.00422	0.002685	0.003489	0.002685	0.002831	0.003197	0.003124	0.004513	0.019865	0.00327	0.004294	0.002466	0.002466	0.005317	0.002758	0.0021	0.001954	0.001516	0.004513	0.005463	0.00422	0.003636	1.0	0.001662	0.002685
BACE1	0.007296	0.067341	0.009881	0.002888	0.012085	0.023866	0.004484	0.067645	0.016341	0.00494	0.006156	0.003268	0.002812	0.036786	0.003724	0.0019	0.001596	0.0	0.010337	0.011021	0.010337	0.033822	1.0	0.001444	0.00418
BACE2	0.045851	0.151349	0.007734	0.744003	0.006997	0.007488	1.0	0.012161	0.013882	0.008226	0.008718	0.089132	0.0038	0.01462	0.663589	0.005029	0.004292	0.243567	0.013144	0.02667	0.010931	0.534484	0.00798	0.017817	0.007488
BACH2	0.004326	0.002297	0.002861	0.001734	0.00241	0.002973	0.39234	0.005002	0.011538	0.097639	0.005791	0.001734	0.050644	0.006467	0.002523	0.001396	0.00117	0.001959	1.0	0.007143	0.007594	0.003762	0.002973	0.000494	0.00241
BAHCC1	0.019545	0.014846	0.069217	0.014622	0.02223	0.033865	0.016189	0.033865	0.620303	0.017084	0.018874	0.013728	0.014846	0.019992	0.014622	0.015294	0.012609	1.0	0.02044	0.02223	0.017307	0.017755	0.019545	0.011043	0.014846
BANK1	0.001594	0.001082	0.043222	0.000794	0.003482	0.001242	1.0	0.001914	0.013209	0.001146	0.003386	0.00089	0.000698	0.00313	0.000986	0.000666	0.001754	9e-05	0.009849	0.015417	0.002522	0.001562	0.001338	0.000218	0.001178
BAZ1B	0.705544	0.002325	0.096194	0.00514	0.275854	0.066577	0.086281	0.065475	0.337658	0.202178	0.211602	0.41635	0.26643	0.024966	0.310733	0.141354	0.023131	0.324807	1.0	0.041488	0.021295	0.064864	0.015176	0.01334	0.0
BCL11B	0.005554	0.004836	0.005385	0.004878	0.004963	0.005427	0.005343	0.006398	0.006272	1.0	0.054191	0.004667	0.862828	0.007158	0.005005	0.004456	0.00433	0.236116	0.006652	0.007581	0.008509	0.005681	0.00547	0.003823	0.005047
BCL2A1	1.0	0.002827	0.093119	0.002584	0.003796	0.945082	0.119851	0.666371	0.005492	0.079389	0.419399	0.002988	0.015103	0.013891	0.00315	0.001373	0.17057	0.0	0.007915	0.174285	0.009934	0.004846	0.004361	0.000485	0.010338
BDH2	0.173611	0.59838	0.167824	0.210648	0.162037	0.065972	0.181713	0.130787	0.615741	0.479167	0.224537	0.011574	0.4375	0.143519	0.0	0.002315	0.130787	1.0	0.125	0.09375	0.089121	0.663194	0.935185	0.508102	0.091435
BHLHE40	0.272941	0.017647	0.725882	0.438824	0.021177	0.027059	0.027059	0.756471	0.049412	0.074118	0.636471	0.015294	0.02	0.047059	0.242353	1.0	0.008235	0.0	0.045882	0.056471	0.034118	0.034118	0.090588	0.003529	0.018824
BHLHE41	0.014252	0.014103	0.015447	0.013655	0.014252	0.016044	0.016641	0.020375	0.019479	0.013505	0.017985	0.014103	0.013207	0.022167	0.014999	0.012311	0.012311	0.010071	0.021719	0.024705	0.019927	0.029335	1.0	0.014999	0.015297
BIN1	0.012142	0.041343	0.211337	0.014512	0.0	0.021264	0.421904	0.029379	0.034473	0.38903	0.258129	0.001125	0.296097	0.026417	0.026536	0.005805	0.013623	0.012261	0.014749	0.017118	1.0	0.040692	0.247231	0.01232	0.014512
BIN2	0.001452	0.000498	0.124725	0.000415	0.000581	0.25555	0.054396	0.362433	0.038256	0.337828	1.0	0.00029	0.324011	0.001701	0.000539	0.000166	8.3e-05	0.013817	0.001577	0.002033	0.001245	0.001037	0.001577	0.0	0.000498
BIRC3	0.439233	0.001126	0.002339	0.000996	0.001516	0.002209	1.0	0.003682	0.003205	0.045521	0.004591	0.001083	0.012864	0.00667	0.001473	0.000563	0.235534	0.0	0.054227	0.309122	0.00745	0.002469	0.001906	0.000347	0.002166
BIRC7	0.08832	0.055592	0.060725	0.05003	0.198911	0.076555	0.073132	0.088106	0.094309	0.102652	0.093453	0.08233	0.11677	1.0	0.527047	0.051099	0.05003	0.049816	0.11078	0.900746	0.091528	0.080619	0.097732	0.040832	0.066501
