Bleh	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
ACTN4	0.042064	0.103517	0.189727	0.235701	0.056337	0.05552	0.058657	0.104929	0.131675
ACTR2	0.025695	0.059937	0.053667	0.059937	0.040777	0.039805	0.039311	0.044591	0.049303
ADA	0.001274	0.000701	0.0	0.00351	0.000466	0.000511	0.000472	0.001608	0.001499
ADAM28	0.005809	0.00843	0.009894	0.007422	0.057306	0.13916	0.008506	0.0	0.005097
ADAMDEC1	0.113196	0.382548	0.320791	0.22384	0.372701	0.355585	0.619053	0.0	0.021599
ADAMTS1	0.023109	0.009005	0.022064	0.035876	0.0	0.020183	0.007959	0.007524	0.027126
ADAP2	0.003818	0.020618	0.007724	0.006484	0.008356	0.00697	0.027407	0.000619	0.005085
ADD2	0.002227	0.001201	0.0	0.000851	0.002438	0.003731	0.001236	0.000864	0.000993
ADIRF	0.039859	0.029287	0.013987	0.0	0.036712	0.012002	0.039655	0.039741	0.040391
ADORA2A	0.022347	0.019366	0.046633	0.014186	0.026384	0.028756	0.0	0.035063	0.043362
ADORA2B	0.0	0.004487	0.000466	0.000856	0.003952	0.00198	0.00576	0.001061	0.001189
AFAP1	0.152797	0.10569	0.153786	0.122979	0.064499	0.063193	0.101659	0.15946	0.132067
AGBL5	0.00695	0.006077	0.006925	0.006744	0.007182	0.00715	0.006449	0.007042	0.006774
AHNAK2	0.001553	0.0001	0.001054	0.000694	0.002218	0.002144	0.002876	0.0	0.001089
AIMP2	0.071497	0.090833	0.069177	0.087329	0.076821	0.06858	0.106692	0.077737	0.080187
AK1	0.082918	0.062933	0.056166	0.077743	0.066449	0.065258	0.110152	0.083768	0.073506
AK2	0.085471	0.10429	0.02848	0.099979	0.130355	0.123527	0.042125	0.073496	0.079217
AKAP12	0.068549	0.054329	0.043837	0.057523	0.060419	0.064585	0.047265	0.061031	0.059072
AKAP3	0.002045	0.000308	0.0	0.001779	0.002185	0.002594	0.001738	0.002058	0.002354
AKR1C1	0.011254	0.008608	0.010506	0.008467	0.007684	0.005454	0.009649	0.009433	0.00826
AKR1C2	0.003085	0.001835	0.002342	0.001702	0.002435	0.001476	0.00282	0.003051	0.002131
AKR1C3	0.00079	0.000469	0.000722	0.018379	6.9e-05	0.000265	0.000654	0.000872	0.000725
ALDH1A1	0.020462	0.090075	0.022604	0.0	0.011333	0.021234	0.279611	0.005159	0.008508
ALDH1A2	0.182772	0.251225	0.351865	0.0	0.112299	0.067699	0.272123	0.049946	0.082041
ALDH3B1	0.00296	0.0316	0.014298	0.006672	0.007395	0.006773	0.043006	0.004917	0.0
ALDH5A1	0.014382	0.009844	0.00757	0.013996	0.015589	0.014715	0.018126	0.013606	0.013805
ALDOC	0.021664	0.016695	0.020298	0.022585	0.020705	0.018454	0.014692	0.022773	0.01977
ALG8	0.067521	0.051913	0.034984	0.051582	0.062336	0.061005	0.107183	0.05495	0.054129
ALOX5AP	0.001113	0.002141	0.027685	0.014115	0.005045	0.003313	0.001671	0.007124	0.005458
ALS2CL	0.433296	0.278873	0.202495	0.172715	0.194259	0.166152	0.235366	0.424504	0.251734
AMFR	0.152849	0.324928	0.064248	0.144478	0.857978	0.798532	0.463986	0.220489	0.193101
AMIGO2	0.014765	0.008922	0.009244	0.011733	0.012485	0.012208	0.009414	0.013491	0.014259
AMMECR1	0.005336	0.002866	0.002924	0.00344	0.003175	0.003485	0.00227	0.005324	0.003841
ANK1	0.002118	0.00132	0.000793	0.0	0.004334	0.003743	0.000491	0.004194	0.001755
ANK2	0.013338	0.01444	0.001568	0.0	0.02074	0.018912	0.022345	0.017108	0.017101
ANKRD27	0.007916	0.009683	0.010446	0.009421	0.008678	0.008173	0.007485	0.008958	0.009734
ANKRD36B	0.062482	0.00944	0.007457	0.017335	0.023768	0.027364	0.014947	0.017958	0.027133
ANKZF1	0.394644	0.04421	0.099155	0.099852	0.192434	0.217174	0.02851	0.145685	0.192771
ANXA3	0.004077	0.004669	0.027244	1e-05	0.004466	0.004319	0.004487	0.000685	0.0
AOAH	0.003683	0.103365	0.05834	0.067647	0.002726	0.003225	0.010083	0.003092	0.030932
AOC3	0.00099	0.000902	0.003849	0.000847	0.001206	0.001271	0.00054	0.000735	0.000636
AP3S1	0.269236	0.434296	0.448955	0.317139	0.447204	0.267548	0.833189	0.403963	0.346213
APH1B	0.005997	0.006532	0.00854	0.002751	0.005242	0.006135	0.007821	0.003539	0.0037
APOBEC3B	0.000582	0.003957	0.008095	0.003389	0.002558	0.002224	0.004799	0.002297	0.003138
APOBEC3G	0.00629	0.007406	0.007581	0.120286	0.03808	0.01847	0.005517	0.014832	0.090564
APOC1	0.005486	0.00595	0.0	0.001313	0.004515	0.000372	1.0	0.004541	0.001328
APOD	0.021641	0.003209	0.026185	0.031408	0.041907	0.032474	0.048833	0.026185	0.014814
APOE	0.008235	0.007854	0.004027	0.007411	0.00816	0.008039	1.0	0.00765	0.007739
AQP1	0.0178	0.007007	0.012092	0.015796	0.014364	0.01213	0.009941	0.015671	0.015662
AQP9	0.001176	0.139025	0.537179	0.006551	0.000398	0.007349	0.138148	0.0	0.000782
AREG	0.001522	0.001262	0.001393	0.003761	0.001704	0.001623	0.000308	0.001752	0.001249
ARHGAP15	0.085517	0.013827	0.072386	0.029834	0.057696	0.069063	0.010103	0.088694	0.059043
ARHGEF3	0.046222	0.008425	0.005844	0.063918	0.009351	0.009391	0.009274	0.041829	0.039754
ARNTL2	0.001002	0.003206	0.002597	0.0	0.002127	0.001791	0.004529	0.002405	0.001822
ASB13	0.12754	0.159222	0.107394	0.099361	0.116385	0.105132	0.174952	0.143859	0.117212
ASGR1	0.003272	0.01889	0.002216	0.001421	0.001211	0.001618	0.004758	0.003143	0.0
ASNS	0.040086	0.021735	0.025569	0.025797	0.027696	0.031258	0.046093	0.029994	0.028869
ASRGL1	0.005547	0.009844	0.007842	0.005221	0.005283	0.004981	0.0106	0.004682	0.005843
ATAD3A	0.030522	0.034449	0.024071	0.041445	0.039941	0.030522	0.033694	0.039036	0.03597
ATG4A	0.005624	0.006145	0.006316	0.008415	0.006196	0.006155	0.01166	0.007414	0.007279
ATM	0.18654	0.024086	0.016867	0.096922	0.070561	0.101624	0.013073	0.066701	0.092387
ATP13A2	0.013758	0.016233	0.011651	0.017217	0.014048	0.013967	0.017711	0.017709	0.016896
ATP1B1	0.14987	0.15829	0.089218	0.152098	0.14744	0.141904	0.956665	0.159221	0.14986
ATP2A1	1e-05	2.2e-05	0.000126	2.5e-05	2.3e-05	3.9e-05	0.0	3e-06	1.2e-05
ATP5I	0.855064	0.692589	0.213006	0.879148	0.939098	0.59558	1.0	0.913646	0.899696
ATP6V0A2	0.030525	0.018341	0.023199	0.021415	0.021555	0.027164	0.026126	0.020864	0.023766
ATP6V0E1	0.36087	0.591691	0.621618	0.465621	0.415919	0.275716	1.0	0.390862	0.451796
AURKA	0.002919	0.007224	0.009775	0.007215	0.00386	0.004027	0.01177	0.004725	0.00523
AUTS2	0.015651	0.015753	0.016069	0.027118	0.032563	0.059124	0.014337	0.020721	0.02234
BAALC	0.00194	0.000891	0.001033	0.003449	0.002172	0.002984	0.002782	0.0	0.001182
BACE1	0.004893	0.010802	0.004521	0.003905	0.005171	0.006708	0.012626	0.008113	0.008145
BACE2	0.005693	0.0	0.005178	0.004694	0.034972	0.025932	0.004234	0.002434	0.002096
BACH2	0.015156	0.000791	0.001304	0.002462	0.013779	0.119362	0.0	0.003623	0.002859
BAHCC1	0.010016	0.014147	0.011628	0.012092	0.0	0.007462	0.011746	0.003306	0.008854
BANK1	0.000264	0.00101	0.000163	0.000675	0.050209	0.055807	0.0	0.000385	0.000389
BAZ1B	0.052387	0.022172	0.014864	0.045776	0.038795	0.036675	0.023496	0.042365	0.063842
BCL11B	0.040362	0.004613	0.004213	0.007271	0.003882	0.003919	0.0	0.026782	0.020491
BCL2A1	0.007802	0.242042	0.318213	0.005657	0.027789	0.006768	0.247277	0.008824	0.009685
BDH2	0.217474	0.137609	0.118994	0.183705	0.148269	0.157392	0.22608	0.169551	0.207359
BHLHE40	0.022685	0.219804	0.087759	0.239626	0.032132	0.019529	0.139218	0.199673	0.110745
BHLHE41	0.012274	0.006613	0.013866	0.010809	0.020352	0.016615	0.048729	0.008549	0.0
BIN1	0.166632	0.04472	0.033476	0.239228	0.301645	0.167262	0.052499	0.32279	0.283594
BIN2	0.028689	0.021698	0.03304	0.043209	0.003455	0.007281	0.00468	0.027381	0.028689
BIRC3	0.044999	0.006596	0.002757	0.002361	0.066751	0.10413	0.002052	0.052863	0.01247
BIRC7	0.045237	0.0	0.014609	0.048638	0.006703	0.010985	0.061158	0.0103	0.057597
BLK	0.006754	0.005777	0.0017	0.00608	0.087015	0.080647	0.0	0.006381	0.006918
BLNK	0.001013	0.001698	0.000629	0.001206	0.028934	0.023936	0.002166	5.3e-05	0.0
BLVRB	0.006461	0.036405	0.008137	0.007207	0.007064	0.00645	0.055209	0.006837	0.006674
BMP6	0.048617	0.051943	0.083597	0.0	0.04892	0.053237	0.036521	0.041757	0.034505
BNIP3	0.017562	0.006959	0.007161	0.010103	0.009278	0.009157	0.01005	0.013767	0.011799
BPGM	0.00311	0.002645	0.004662	0.007807	0.004232	0.002568	0.003371	0.003128	0.003591
BRAP	0.073221	0.066243	0.107188	0.072871	0.065763	0.063552	0.065904	0.069769	0.073178
BRCA1	0.020833	0.030978	0.067321	0.032652	0.029666	0.026512	0.03482	0.020742	0.02847
BST1	0.000843	0.055378	0.043311	0.00067	0.000113	0.000402	0.005402	0.000702	0.000667
BTBD7	0.203711	0.236308	0.291249	0.208528	0.204365	0.212191	0.222085	0.202347	0.208408
BTG1	0.721715	0.234176	0.311733	0.333739	0.472704	0.743145	0.065214	0.444314	0.359387
BTK	0.001958	0.065412	0.020156	0.001888	0.143014	0.179823	0.026443	0.000746	0.000401
BTN3A1	0.258874	0.039998	0.160147	0.185814	0.117065	0.056902	0.023572	0.101271	0.188282
BUB1	0.000569	0.003699	0.005206	0.000372	8.7e-05	0.000367	0.001838	0.000722	0.000356
C14ORF132	0.006471	0.002145	0.001679	0.0	0.004616	0.006185	0.003066	0.0062	0.005582
C16ORF95	0.009697	0.00523	0.0	0.010904	0.006708	0.005478	0.01038	0.011545	0.008472
C1ORF186	0.010468	0.00863	0.004455	0.0	0.09531	0.017555	0.001459	0.013516	0.002216
C1ORF61	0.017372	0.021901	0.019519	0.020622	0.0	0.01824	0.013489	0.020361	0.021257
C1QA	0.002826	0.072703	0.014291	0.017748	0.036246	0.007805	0.095232	0.011746	0.0
C1QB	0.0	0.037812	0.007027	0.009053	0.020201	0.003168	0.049924	0.000478	0.000202
C1R	0.009268	0.008642	0.011863	0.009281	0.008647	0.008545	0.006931	0.00863	0.008849
C1S	0.029709	0.02869	0.02953	0.027892	0.028605	0.029355	0.026738	0.027684	0.028384
C20ORF27	0.025682	0.06849	0.021101	0.028648	0.03617	0.02938	0.055311	0.032545	0.032602
C21ORF91	0.094581	0.066982	0.105046	0.098886	0.05762	0.059053	0.014987	0.100638	0.116992
C3	0.01181	0.016757	0.01818	0.014824	0.014672	0.012538	0.061058	0.012869	0.010581
C4A	0.01092	0.010755	0.013992	0.010423	0.010149	0.010451	0.009084	0.010119	0.010265
C4B	0.010492	0.010831	0.013182	0.010033	0.010494	0.01072	0.009183	0.010257	0.010229
C5AR1	0.002269	0.032676	0.105452	0.002168	0.002492	0.002432	0.065822	0.000503	0.002138
C7ORF55-LUC7L2	0.093365	0.095242	0.0	0.098503	0.06473	0.036855	0.09944	0.066292	0.078067
C8ORF33	0.211928	0.171253	0.139188	0.216847	0.221242	0.228845	0.208508	0.220171	0.218008
C9ORF16	0.252501	0.255274	0.237465	0.689259	0.413225	0.277114	0.805819	0.658416	0.578555
CA2	0.000391	0.000651	0.000645	0.000453	0.000491	0.000541	0.00387	0.000457	0.000449
CABYR	0.002621	0.0019	0.002418	0.002247	0.002615	0.003268	0.001846	0.002553	0.002848
CALM1	1.0	0.364139	0.336752	0.810547	0.412472	0.417315	0.436862	0.715211	0.775505
CALM2	0.610097	0.901896	0.720683	0.549331	0.737158	0.562164	1.0	0.621274	0.656953
CALM3	0.330209	0.175404	0.20357	0.231768	0.086895	0.085042	1.0	0.236619	0.22404
CALR	0.383336	0.298517	0.048001	0.698644	0.520363	0.416789	1.0	0.480505	0.593179
CAMP	0.001864	0.003802	0.007154	0.0	0.003626	0.000217	0.006235	0.000588	0.000934
CAND2	0.058697	0.0	0.020616	0.044582	0.052008	0.047132	0.02872	0.051987	0.050116
CAPRIN2	0.120759	0.089468	0.094164	0.103741	0.104682	0.112488	0.094391	0.096342	0.105267
CARD8	0.206633	0.089535	0.279559	0.144845	0.048642	0.075014	0.041709	0.145962	0.130545
CASD1	0.204257	0.104802	0.072645	0.170079	0.145722	0.235578	0.098025	0.167279	0.182864
CASP1	0.006556	0.101273	0.0635	0.023118	0.015898	0.006366	0.012271	0.024944	0.034914
CASP8	0.201662	0.090124	0.332046	0.164012	0.067099	0.033889	0.019624	0.159662	0.248905
CASQ1	0.0	0.012201	0.008144	0.005946	0.011784	0.010308	0.01043	0.006654	0.004771
CAV1	0.002575	0.000688	0.000241	0.001111	0.001856	0.002284	0.001885	0.0	0.00156
CAV2	0.014343	0.006805	0.004752	0.007289	0.005418	0.00825	0.014056	0.012647	0.011202
CBFA2T2	0.346836	0.304502	0.338032	0.323004	0.326747	0.351098	0.280852	0.333361	0.342288
CBFA2T3	0.006151	0.008762	0.011099	0.004001	0.008916	0.008417	0.006857	0.0	0.001233
CBR4	0.099698	0.08397	0.11924	0.122577	0.097825	0.137995	0.100035	0.073813	0.092508
CBS	0.040761	0.026526	0.061171	0.043527	0.038152	0.037261	0.066803	0.0	0.041112
CBX1	0.202166	0.203949	0.249298	0.211369	0.216572	0.18891	0.18285	0.209222	0.201209
CCL2	0.00183	0.002094	0.001825	0.0	0.000715	0.001769	0.002363	0.000613	0.000644
CCL22	0.004471	0.004553	0.00248	0.003616	0.009688	0.00285	0.090323	0.0	0.003349
CCL3	4.3e-05	0.331301	0.002409	0.015851	0.000612	0.001253	0.008806	0.000482	0.000903
CCL3L3	0.0	0.0925	0.006282	0.003874	0.003051	0.003838	0.004549	0.003955	0.003537
CCL4	0.000276	0.197472	0.003153	0.050034	0.000181	0.00041	0.00109	0.00069	0.016399
CCL5	0.007645	0.008934	0.005359	0.380477	0.006284	0.005623	0.005698	0.069701	0.391963
CCL8	0.00869	0.017627	0.011064	0.0	0.007711	0.015081	0.019901	0.006597	0.005969
CCNA2	0.000907	0.0	0.002134	0.001956	0.000771	0.00051	0.0041	0.001155	0.001995
CCNB1IP1	0.01577	0.008668	0.005255	0.013331	0.022726	0.027692	0.010196	0.014996	0.018165
CCNB2	0.000104	5.2e-05	0.001403	0.00091	0.000285	5.8e-05	0.002261	0.000519	0.000689
CCND1	0.000679	0.000367	0.000432	0.000841	0.001821	0.001674	0.030981	0.000988	0.000937
CCND2	0.01684	0.002988	0.003559	0.052435	0.00456	0.002349	0.016898	0.056524	0.046
CCNE1	0.001018	0.000431	0.000404	0.0005	0.000864	0.0	0.000967	0.000802	0.00059
CCR1	0.0	0.021751	0.027487	0.003818	0.002201	0.002656	0.019797	0.001574	0.003787
CCR2	0.000514	0.01411	0.000632	0.000526	0.000973	0.000391	0.0	0.004027	0.002185
CCR6	0.012358	0.008014	0.012433	0.011937	0.030277	0.026711	0.0	0.052558	0.017059
CCR7	0.031629	0.000597	0.0	0.000507	0.007268	0.015666	0.000229	0.007844	0.003271
CCR9	0.008463	0.0	0.00022	0.004493	0.011722	0.009822	0.000488	0.014943	0.009932
CCSER2	0.068326	0.011188	0.016005	0.042586	0.01071	0.012029	0.012027	0.04631	0.054625
CCT6B	0.000721	0.000722	0.00096	0.000781	0.000668	0.000855	0.000711	0.000704	0.000562
CD14	0.000365	0.036245	0.011092	0.000405	0.000368	0.000414	0.008937	0.000486	0.000396
CD160	0.000841	0.00114	0.000907	0.041005	0.001024	0.001185	0.0	0.001086	0.005371
CD163	7e-05	0.018315	0.00164	0.000808	0.000284	0.001124	0.006204	0.000513	0.0
CD180	0.000236	0.005647	0.001587	0.000999	0.009865	0.010178	0.004313	0.0	0.000143
CD19	0.002194	0.00226	0.00271	0.002357	0.027871	0.030212	0.002142	0.002023	0.0
CD1A	0.0	0.028926	0.013719	0.018303	0.026782	0.029358	0.026073	0.016988	0.021276
CD1D	0.000777	0.02291	0.004888	0.002336	0.006603	0.004804	0.003832	0.002304	0.0
CD1E	0.0	0.173646	0.081128	0.107835	0.096617	0.075774	0.145949	0.130319	0.055965
CD2	0.077086	0.005566	0.004525	0.064471	0.003438	0.003446	0.0	0.11436	0.127549
CD24	0.007589	0.007574	0.012084	0.008543	0.082859	0.02141	0.007248	0.005756	0.0
CD244	0.00184	0.021371	0.002455	0.106611	0.001346	0.000871	0.0	0.002251	0.019856
CD247	0.010711	0.000241	0.000256	0.023321	0.000292	0.000196	0.0	0.008936	0.009701
CD27	0.016622	0.00219	0.000904	0.002495	0.024723	0.002418	0.0	0.019194	0.027923
CD28	0.123409	0.003921	0.002172	0.000572	0.0	0.000234	5.4e-05	0.109836	0.060031
CD300A	0.0007	0.009082	0.022473	0.036334	0.000878	0.000324	0.002251	0.001803	0.005917
CD302	0.002567	0.030444	0.014076	0.002484	0.002394	0.002571	0.004175	0.002696	0.002655
CD36	0.000588	0.111197	0.002072	0.00053	0.00057	0.000998	0.137918	0.000909	8.7e-05
CD37	0.004937	0.005737	0.005064	0.002741	0.018439	0.021297	0.003332	0.003534	0.003026
CD38	0.004841	0.004121	0.004896	0.017153	0.003002	0.006063	0.0	0.00237	0.002902
CD3D	0.023622	0.001479	0.00131	0.002059	0.000663	0.0	0.00096	0.024935	0.027799
CD3E	0.029302	0.003307	0.002995	0.009181	0.002611	0.002743	0.0	0.035827	0.038872
CD3G	0.071652	0.014989	0.013466	0.018524	0.007153	0.0	0.002265	0.098256	0.115379
CD4	0.051766	0.072656	0.005793	0.000418	0.0	0.000782	0.021087	0.076463	0.001825
CD40	0.001544	0.003499	0.000771	0.0021	0.042364	0.066914	0.00641	0.000827	0.001653
CD52	0.151435	0.092046	0.001803	0.059367	0.107387	0.116527	0.377712	0.114229	0.103126
CD69	0.097016	0.001423	0.001466	0.035688	0.058289	0.074662	0.000125	0.097016	0.057156
CD7	0.024317	0.006206	0.007822	0.133754	0.004658	0.004668	0.0	0.02873	0.048848
CD70	0.008158	0.005686	0.006479	0.008207	0.016321	0.0	0.006009	0.011089	0.010994
CD72	0.004356	0.00506	0.003519	0.007056	0.038473	0.078409	0.005294	0.004393	0.004958
CD74	0.047015	1.0	0.067786	0.139815	0.649926	0.828092	0.276996	0.109977	0.22562
CD79A	0.001244	0.000948	0.001153	0.00125	0.058754	0.063256	0.001056	0.000815	0.001009
CD79B	0.00282	0.002825	0.001286	0.006404	0.114815	0.12328	0.001873	0.005271	0.003416
CD8A	2e-05	0.001687	0.001124	0.005402	0.00046	0.000661	0.0	0.001531	0.087938
CD8B	0.009643	0.009271	0.007904	0.010026	0.007101	0.004928	0.0	0.009388	0.182605
CD9	0.032268	0.040279	0.040967	0.028006	0.032802	0.037544	1.0	0.032015	0.031131
CD93	0.002476	0.083954	0.054935	0.004421	0.0	0.001027	0.001426	0.001911	0.001671
CDA	0.0	0.009529	0.02357	0.001206	0.003069	0.003582	0.008307	0.001958	0.002119
CDC25B	0.022402	0.006625	0.005121	0.011684	0.009686	0.009433	0.00641	0.018307	0.026381
CDC45	0.028403	0.0	0.028328	0.031507	0.025591	0.018621	0.032219	0.028217	0.030206
CDC7	0.004284	0.001936	0.001408	0.004347	0.002393	0.003225	0.0	0.004745	0.005161
CDH5	0.052636	0.045789	0.004231	0.003961	0.0	0.040047	0.033136	0.019457	0.0
CDK1	0.001776	0.002781	0.001529	0.002206	0.001097	0.001248	0.003592	0.002146	0.002127
CDK18	0.001951	0.002425	0.0	0.001718	0.002024	0.001925	0.004483	0.001267	0.001566
CDK2	0.026046	0.021227	0.026869	0.031172	0.022736	0.022942	0.021149	0.020351	0.022971
CDK8	0.022235	0.018881	0.018325	0.020924	0.019422	0.020614	0.020994	0.022009	0.021668
CDKN3	0.000786	0.000725	0.001414	0.000865	0.000314	0.000194	0.001518	0.001033	0.00099
CDT1	0.0	0.002112	0.005344	0.006094	0.002389	0.002139	0.006175	0.002976	0.004991
CECR1	0.001549	0.015721	0.000658	0.001661	0.00134	0.001721	0.009691	0.00153	0.001574
CELF2	0.12451	0.099895	0.274863	0.090815	0.049394	0.101889	0.039464	0.085423	0.089945
CENPA	0.000917	0.002008	0.00301	0.003041	0.002238	0.0	0.003913	0.001638	0.002253
CENPM	0.002014	0.0	0.001542	0.002388	0.003412	0.004854	0.002457	0.003618	0.003412
CENPN	0.007085	0.008362	0.010343	0.00976	0.008686	0.008097	0.014954	0.007865	0.009357
CEP55	0.000704	0.001033	0.00197	0.002202	0.000159	0.0	0.003889	0.0021	0.002339
CEPT1	0.068441	0.068966	0.050626	0.052116	0.172369	0.24302	0.093666	0.045902	0.049187
CERK	0.03947	0.019826	0.032209	0.022144	0.007057	0.015921	0.014713	0.088337	0.053205
CFD	0.006003	0.056352	0.060583	0.007	0.007689	0.006871	0.016845	0.006894	0.008742
CFP	0.002013	0.061769	0.03628	2.5e-05	0.000326	0.000545	0.000224	0.002031	0.00041
CHAC1	0.009837	0.007117	0.011219	0.010557	0.009939	0.0	0.024281	0.007632	0.007698
CHI3L2	0.003483	0.001746	0.001473	0.003746	0.010916	0.011575	0.001807	0.002479	0.002816
CHST2	0.016101	0.020127	0.02	0.129045	0.024057	0.020077	0.017277	0.016578	0.014004
CISH	0.013734	0.007492	0.010977	0.006272	0.001178	9.4e-05	0.005227	0.024132	0.009428
CKS2	0.000132	0.000378	0.000622	0.000726	0.000632	0.000116	0.002247	0.000407	0.000447
CLC	0.002722	0.002923	0.004127	0.002472	0.001239	0.000239	0.0	0.002792	0.002526
CLDN7	0.006078	0.009582	0.0	0.008829	0.008116	0.008357	0.01313	0.005543	0.008974
CLEC10A	0.004904	0.028589	0.007822	0.006664	0.007803	0.009615	0.012743	0.009911	0.0
CLEC11A	0.001808	0.003159	0.001929	0.001896	0.0	0.000968	0.00413	0.000604	0.000946
CLEC2D	0.554373	0.022125	0.02788	0.1043	0.146228	0.460715	0.017362	0.264974	0.371497
CLEC3B	0.050752	0.061627	0.048037	0.048551	0.037035	0.052092	0.050424	0.049394	0.044323
CLEC4A	0.001608	0.036579	0.021023	0.001432	0.002049	0.00285	0.005246	0.001304	0.001402
CLEC7A	0.003178	0.10207	0.179892	0.00346	0.001238	0.0036	0.024227	0.00312	0.0
CLIC3	0.001274	0.001222	0.0	0.021411	0.001483	0.001379	0.001404	0.001705	0.002226
CLIC4	0.002478	0.017635	0.005173	0.002386	0.016314	0.038528	0.077367	0.002276	0.000968
CLK4	0.173128	0.055851	0.08866	0.050466	0.064356	0.17423	0.043573	0.055163	0.052924
CLPB	0.005307	0.009732	0.004013	0.005139	0.00588	0.005694	0.007424	0.005841	0.00579
CLUHP3	0.05263	0.00357	0.001286	0.013795	0.022468	0.028912	0.001542	0.053688	0.02
CNTRL	0.537997	0.08384	0.053663	0.063879	0.203666	0.299668	0.031529	0.139527	0.130266
COCH	0.002925	0.005446	0.00687	0.002617	0.010354	0.007061	0.002421	0.0	0.004821
COIL	0.019385	0.011851	0.012014	0.013125	0.016521	0.016728	0.010492	0.014918	0.012938
COL4A1	0.008539	0.005092	0.010424	0.004498	0.005755	0.006123	0.008691	0.005467	0.004421
COL4A2	0.024728	0.023186	0.012405	0.017219	0.019699	0.020499	0.026058	0.019059	0.01727
COL5A2	0.001403	0.000213	0.000359	0.000789	0.001935	0.001892	0.000842	0.001024	0.000893
COL6A1	0.001407	0.000278	0.0	0.000537	0.000331	0.00025	0.003907	0.001317	0.001527
COL6A2	0.005774	0.003829	0.004081	0.009537	0.003664	0.004205	0.008335	0.005768	0.015176
COL6A3	0.001425	0.000837	0.000395	0.000922	0.00099	0.000403	0.001418	0.001334	0.001355
COL9A3	0.000322	0.002017	0.005938	0.000124	0.00626	0.001876	0.000262	0.00025	0.000202
COMMD8	0.124624	0.163483	0.143476	0.171025	0.138671	0.134297	0.170057	0.149754	0.154548
CPE	0.035136	0.031988	0.031692	0.038433	0.019927	0.020135	0.054116	0.02558	0.036846
CPED1	0.00293	0.013365	0.002933	0.003972	0.015209	0.004885	0.009389	0.0	0.00101
CPNE1	0.306784	0.165526	0.221533	0.376388	0.289493	0.276766	0.060515	0.387059	0.443832
CPVL	0.00101	0.064663	0.001319	0.000662	0.000448	0.00071	0.020194	0.000764	0.000716
CR2	0.002578	0.0	0.001835	0.001391	0.005208	0.006729	0.000923	0.002183	0.002004
CRIP2	0.016848	0.008261	0.007033	0.007599	0.019697	0.009041	0.003536	0.031548	0.012169
CRISPLD2	0.009067	0.036143	0.059869	0.006963	0.005389	0.007572	0.007377	0.009629	0.003232
CRTAM	0.010762	0.011727	0.002632	0.016341	0.0	0.002252	0.031819	0.007962	0.029264
CRYBB2P1	0.04826	0.032601	0.041661	0.036165	0.040714	0.046808	0.033666	0.043828	0.038847
CSF1R	0.0	0.045998	0.007611	0.000322	0.001391	0.002269	0.011239	0.000539	0.001888
CSF2RB	0.000431	0.007468	0.063033	0.000142	0.001429	0.001214	0.001753	0.000201	0.0
